name,voices,select,confirm,attack,move,death,death2,traits
// CHEMICAL DLC,,,,,,,,
,,,,,,,,
Buzzer,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_SMALL,,
Geiger_Bug,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_MEDIUM,,
Buzzer_Grenadier,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_MEDIUM,,
Hydra_Bug,1,Bug_Medium,Bug_Medium,Bug_Medium,Bug_Medium,BUG_DEATH_LARGE,,
Proto_Eradicators,2;2,Proto_Eradicators,,Proto_Eradicators,Proto_Eradicators,Infantry_Death,Reverb_Death,
Hazmat_Eradicators,2;2,Hazmat_Eradicators,,Hazmat_Eradicators,Hazmat_Eradicators,Infantry_Death,Reverb_Death,
Fortis_Eradicators,2;2,Fortis_Eradicators,,Fortis_Eradicators,Fortis_Eradicators,Infantry_Death,Reverb_Death,
Powersuit_Eradicators,2;2,Powersuit_Eradicators,,Powersuit_Eradicators,Powersuit_Eradicators,Infantry_Death,Reverb_Death,
Toxic_Biped,2;2,Toxic_Biped,,Toxic_Biped,Toxic_Biped,Infantry_Death,Reverb_Death,
Radiation_Biped,2;2,Radiation_Biped,,Radiation_Biped,Radiation_Biped,Infantry_Death,Reverb_Death,
Missile_Specialist,2;2,Missile_Specialist,,Missile_Specialist,Missile_Specialist,Infantry_Death,Reverb_Death,
Mech_Heavy_Bio,2;2,Mech_Heavy_Bio,,Mech_Heavy_Bio,Mech_Heavy_Bio,Infantry_Death,Reverb_Death,
M11_Exterminator,2;2,M11_Exterminator,,M11_Exterminator,M11_Exterminator,Infantry_Death,Reverb_Death,
,,,,,,,,
// Jungle DLC,,,,,,,,
,,,,,,,,
Hover_Mortar,3,rifle_squad,rifle_squad,rifle_squad,rifle_squad,Infantry_Death,Reverb_Death,useGenericSounds
Mech_Artillery,3,rifle_squad,rifle_squad,rifle_squad,rifle_squad,Infantry_Death,Reverb_Death,useGenericSounds
Mech_Artillery_Turret,3,rifle_squad,rifle_squad,rifle_squad,rifle_squad,Infantry_Death,Reverb_Death,useGenericSounds
Mech_Artillery_Direct,3,rifle_squad,rifle_squad,rifle_squad,rifle_squad,Infantry_Death,Reverb_Death,useGenericSounds
