name,id,dlc,featureflag,factions,category,class,propulsion,wiki,portrait,icon,minimap,tier,requires,formation,emblem,squad type,rank,members,steering type,music intensity,models,volume,tilesize,height,scale,level,tileBlockingLevel,sound,gender,weapon,power shot,abilities,lifetime,hitpoints,armor,armor type,supply,support,funds,materiel,cap,xp mod,build time,speed,rotation,turret,flight,LOS,cone,capture,cargo,garrison,switch,alternateUnitTypes,decoration,hit,death,death.blood,death.deathEffect,attributes,code,traits,transform restrictions,combat stance,target priority,climbing,hopperThings,// Animations,death variations,attack variations,dropship anim,bug mound,heal,carryableConfig,landingPad,transportConfig,spawnConfig,attachment,pupaeDefense,squadDefender,notification,carrying,radiuscapturing,invasionMarker,invasion,construction effect,step effect,constructor,constructable
// E-PULSE TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Pulse_Infantry,1101,base,,federation,ground,infantry,foot,E-Pulse_Infantry,epulse,28,,,Grenade_Depot,checker; 0.3; 1.4; 1.4; 3,offset: 5,squad,1,12,,,E-Pulse_Trooper_0,0.7,,1.76,1; 1.1,,,E-Pulse_Infantry,,E-Pulse_44 0,,Battery_Overload; Battery_Bomb; Battery_Light; E-Pulse_Welder,,60,0,,3,,,,,,,3.9,360,,,50,,,,,,E-Pulse_Welders,,Blood,,156; 10; 10,standard: Blood_Death,human; canCaptureHive,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
E-Pulse_Welders,166,base,test,federation,ground,infantry,foot,E-Pulse_Infantry,epulse,28,,,Grenade_Depot,checker; 0.3; 1.4; 1.4; 3,offset: 4,squad,1,12,,,E-Pulse_Welder_0,0.7,,1.76,1; 1.1,,,E-Pulse_Infantry,,E-Pulse_44 0,,Battery_Overload,,60,0,,3,,,,,,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human; canCaptureHive,,garrison; noEditor,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,welding,,purchase: mg_turret rocket_turret grenade_turret; construct: (attribute: repairable),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// FORTIS E-PULSE TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exosuit_E-Troopers,124,base,,federation,ground,infantry,foot,Exosuit_E-Troopers,,131,,,Power_Plant,checker; 0.3; 1.6; 1.6; 3,offset: 5,squad,1,10,,,Exosuit_E_Pulse,0.8,,1.76,1.12; 1.15,,,Exosuit_E-Troopers,,E-Pulse_44 0,,Exosuit_Bastion_Deploy; Exosuit_Battery_Overload; Exosuit_Electrocute,,100,40,,3,,,5,,,,3.9,360,,,50,,,,,Exosuit_E-Troopers_Deployed,Exosuit_E-Troopers_Deployed,,Blood,,156; 10; 10,standard: Blood_Death,human; canCaptureHive,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
Exosuit_E-Troopers_Deployed,1154,base,,federation,ground,infantry,static,Exosuit_E-Troopers,,131,,,Power_Plant,checker; 0.3; 1.6; 1.6; 3,offset: 5,squad,1,10,,,Exosuit_E_Pulse_Deployed,0.8,,1.76,1.12; 1.15,,,Exosuit_E-Troopers,,E-Pulse_44 0,,Exosuit_Bastion_Undeploy; Exosuit_Battery_Overload; Exosuit_Electrocute,,100,60,,3,,,5,,,,/,360,,,30,,,,,Exosuit_E-Troopers,,,Blood,,156; 10; 10,standard: Blood_Death,human; canCaptureHive,,garrison; noEditor; noAutoTarget,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking; noPlayerInput: (),,,,,,exit: instant,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M6 JAEGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mech_AT,1102,base,,federation,ground,vehicle,mech,Mech_AT,,86,,,Power_Plant,/,offset: 5.5,direct,2,1,BigUnit 150,,Mech_AT,3,,1.8,0.9,1,,Mech_AT,,Mech_Cannon_Shot,,Mech_AT_Proximity_Defense; Mech_AT_Elite_A; Mech_AT_Elite_B,,300,60,,2,,,20,,,20,6,200,120; pitch: 120 -10 20,,30,,,,,#REF!,,,Sparks,ragdoll: (),,E_Turret_Death,human,,suppressionImmune; cannotCapture; bigCollisionLayer; canSelfDestruct; canPurchase; overwatch,,,,,,,,,,,,enabled,,preferredTransport: Drop_Pod; noPlayerInput: (),,,,spawn: (type: Mech_AT_Drone; interval: 10; amount: 1); followRange: 5; returner: (maxRange: 20; minRange: 5); teleportBackRange: 40; dieWithLeader: (),,,,,,,,,
Mech_AT_Drone,1127,base,,federation,air,generic,rotor,,,/,none,,,/,type: none; offset: 2,direct,1,1,,,Mech_AT_Drone,1,,1,1,,,,,Mech_AT_Drone_Laser,,Grenade,,40,0,,/,,,,,,,10,300,,8,30,,,,,Mech_AT_Drone_Kamikaze,,,Sparks,ragdoll: (),,Flak_Explosion,inanimate,,suppressionImmune; inaccessible; noExperience; cannotCapture,,aggressive,,,,,,,,,2,,,,,,,,,,,,,,,,
Mech_AT_Drone_Kamikaze,1128,base,,federation,air,generic,rotor,,,/,none,,,/,type: simple; offset: 2,direct,1,1,,,Mech_AT_Drone,1,,1,1,,,Kamikaze_Drone,male,Mech_AT_Drone_Kamikaze,,/,10 kill,40,0,,/,,,,,,,10,300,,8,30,,,,,,,,Sparks,ragdoll: (),,Flak_Explosion,inanimate,,suppressionImmune; noExperience; cannotCapture,,holdFire,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M9 SLEDGEHAMMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mech_Mortar,4017,base,,federation,ground,vehicle,mech,Mech_Mortar,,85,,,Fleet_Relay,/,offset: 7,direct,1,1,BigUnit 90,,Sledgehammer_Mech,4,,4.5,0.95,1,,Mech_Mortar,,Mech_Mortar_Shot,,Mech_Mortar_Deploy; Mech_Mortar_Firewall; Mech_Mortar_Turret_Pod,,500,70,,3,,,25,,,20,4,100,,,40,,,,,Mech_Mortar_Deployed,Mech_Mortar_Deployed,,Sparks,ragdoll: (),,E_Turret_Death,inanimate; temp-minrangepowershot,,suppressionImmune; cannotCapture; bigCollisionLayer; canSelfDestruct; canPurchase,,,,,,,,,,,,enabled,,preferredTransport: Drop_Pod; noPlayerInput: (),,,,,,,,,,,,,
Mech_Mortar_Deployed,4026,base,,federation,ground,vehicle,mech,Mech_Mortar,,85,,,Fleet_Relay,/,offset: 7,direct,2,1,BigUnit 90,,Sledgehammer_Mech_Deployed,4,,4.5,0.95,1,,Mech_Mortar,,Mech_Mortar_Deployed_Shot,,Mech_Mortar_Undeploy; Mech_Mortar_Firewall; Mech_Mortar_Turret_Pod,,500,70,,3,,,25,,,20,3,100,,,80,,,,,Mech_Mortar,,,Sparks,ragdoll: (),,E_Turret_Death,inanimate,,suppressionImmune; cannotCapture; bigCollisionLayer; canSelfDestruct,,,,,,,,,,,,enabled,,preferredTransport: Drop_Pod; noPlayerInput: (),,,,,,,,,,,,,
Mech_Mortar_Turret,1129,base,,federation,ground,structure,fundament,,,/,,,/,/,type: simple,direct,/,1,,,Mortar_Mech_Turret_Shell,0.8,,,,,,,,Mech_Mortar_Turret_Shot 0,,/,25 kill,40,10,,/,,,,,,,/,/,120; pitch: 120 -35 80,,30,,,,,,,,Sparks,ragdoll: (),,Mortar_Mech_Turret_Death,inanimate,,noCollider; noUnitCard; noCollider; uncontrollable; noExperience; noEditor,,,,,,,,,,,,,,,,,,,attack: turret,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// POWER SUIT TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power_Infantry,10,base,,federation,ground,infantry,foot,Power_Infantry,power,24,,,Sector_Headquarters,mob; 0.3; 2.8,offset: 5,squad,1,7,,,Power_Infantry,1,,1.76,1.12; 1.15,,,Power_Infantry,,PS_Light_AR,,Grenade; Heavy_AR; Rocket_Pack; Engineering_Tools,,120,50,,3,,,10,,3,,7,360,,,50,,,,,Power_Infantry_Hover,Power_Rocketeers; Power_Heavy; Power_Engineers,,Sparks,,156; 10; 10,,human; canCaptureHive; gasImmune,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
Power_Infantry_Hover,37,base,,federation,ground,infantry,foot,Power_Infantry,power,24,,,/,mob; 0.3; 2.8,offset: 5,squad,1,7,,,Power_Infantry_Hover,1,,1.76,1.12; 1.15,,,Power_Infantry,,PS_Light_AR_Hover,,Deactivate_Jetpack; Heavy_AR; Rocket_Pack,,120,50,,3,,,10,,3,,8.5,1000,1000,,50,,,,,Power_Infantry,,,Sparks,,156; 10; 10,,human; canCaptureHive; gasImmune,,garrison; noEditor; suppressionResistant; hasFuel; burnFuel,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
Power_Rocketeers,22,base,,federation,ground,infantry,foot,Power_Infantry,power,24,,,/,mob; 0.3; 2.8,offset: 5,squad,1,7,,,Power_Rocketeer,1,,1.76,1.12; 1.15,,,Power_Infantry,,PS_Light_AR 0,PS_Missile_Launcher 1,Grenade; Rocket_Pack_Unlocked,,120,50,,3,,,10,,,,7,360,,,50,,,,,Power_Rocketeers_Hover,,,Sparks,,156; 10; 10,,human; canCaptureHive; gasImmune,,garrison; noEditor,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
Power_Rocketeers_Hover,24,base,,federation,ground,infantry,foot,Power_Infantry,power,24,,,/,mob; 0.3; 2.8,offset: 5,squad,1,7,,,Power_Rocketeer_Hover,1,,1.76,1.12; 1.15,,,Power_Infantry,,PS_Light_AR_Hover,,Deactivate_Jetpack; Rocket_Pack_Unlocked,,120,50,,3,,,10,,,,8.5,1000,1000,,50,,,,,Power_Rocketeers,,,Sparks,,156; 10; 10,,human; canCaptureHive; gasImmune,,garrison; noEditor; suppressionResistant; hasFuel; burnFuel,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
Power_Heavy,36,base,,federation,ground,infantry,foot,Power_Infantry,power,24,,,/,mob; 0.3; 2.8,offset: 5,squad,1,7,,,Power_Heavy,1,,1.76,1.12; 1.15,,,Power_Infantry,,PS_Heavy_AR,,Grenade; Heavy_AR_Unlocked,,120,50,,3,,,10,,,,7,360,,,50,,,,,Power_Heavy_Hover,,,Sparks,,156; 10; 10,,human; canCaptureHive; gasImmune,,garrison; noEditor,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
Power_Heavy_Hover,33,base,,federation,ground,infantry,foot,Power_Infantry,power,24,,,/,mob; 0.3; 2.8,offset: 5,squad,1,7,,,Power_Heavy_Hover,1,,1.76,1.12; 1.15,,,Power_Infantry,,/,,Deactivate_Jetpack; Heavy_AR_Unlocked,,120,50,,3,,,10,,,,8.5,1000,1000,,50,,,,,Power_Heavy,,,Sparks,,156; 10; 10,,human; canCaptureHive; gasImmune,,garrison; noEditor; suppressionResistant; hasFuel; burnFuel,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
Power_Engineers,43,base,,federation,ground,infantry,foot,Power_Infantry,power,24,,,/,mob; 0.3; 2.8,offset: 5,squad,1,7,,,Power_Engineer,1,,1.76,1.12; 1.15,,,Power_Infantry,,PS_AR_Welder,,Engineering_Tools_Unlocked,,120,50,,3,,,10,,,,7,360,,,50,,,,,Power_Engineers_Hover,,,Sparks,,156; 10; 10,,human; canCaptureHive; gasImmune,,garrison; noEditor,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,welding,,purchase: mg_turret rocket_turret grenade_turret; construct: (attribute: repairable),
Power_Engineers_Hover,90,base,,federation,ground,infantry,foot,Power_Infantry,power,24,,,/,mob; 0.3; 2.8,offset: 5,squad,1,7,,,Power_Heavy_Hover,1,,1.76,1.12; 1.15,,,Power_Infantry,,/,,Deactivate_Jetpack; Engineering_Tools_Unlocked,,120,50,,3,,,10,,,,8.5,1000,1000,,50,,,,,Power_Engineers,,,Sparks,,156; 10; 10,,human; canCaptureHive; gasImmune,,garrison; noEditor; suppressionResistant; hasFuel; burnFuel,,,,,,,3,,,,1,enabled,,preferredTransport: DR-4_Viking,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// SPECIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical_Troopers,2007,base,,federation,ground,infantry,foot,Chemical_Troopers,,9,,,Support_Center,checker; 0.3; 3.0; 1.8; 2,offset: 5,squad,2,3,,,Chemical_Trooper_0,0.7,,1.76,1; 1.1,,,chemical_troopers,,Insecticide_Grenade,,Gas_Volley; Gas_Canister; Gasthrower,,80,10,,2,,,,,,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human; gasImmune,,garrison; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-8_Skyhook,,,,,,,,,,,,,
Fleet_Liaison,85,base,,federation,ground,infantry,foot,Fleet_Liaison,fleet,6,,,Fleet_Relay,/,offset: 4,direct,2,1,,,Fleet_Liaison_0,0.7,,1.76,1; 1.1,,,fleet_liaison,female,TAC_Strafe,/,Reinforce; TAC_Strike; Orbital_Strike; Marines_Drop; TAC_Strike_Cutscene; TAC_Strike_Tripple; TAC_FlyBy,,80,0,,2,,,,,,,3.9,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human,,garrison; noFireBlocking; singleton; shootThroughSoldiers; canPurchase,,,,,,,3,,,,1,enabled,,preferredTransport: DR-8_Skyhook,,,,,,,,,,,,,
Marines,114,base,,federation,ground,infantry,foot,Marines,marine,49,,,/,mob; 0.3; 2,offset: 5,squad,1,7,,,Marine_0,0.7,,1.76,1; 1.1,,,marines,,Morita_Carbine 0,,,,80,10,,2,,,,,,,5,360,,,50,,,,,,,,Blood,,156; 10; 10,standard: Blood_Death,human; canCaptureHive,,noExperience; garrison; suppressionResistant; noFireBlocking,,,,,,,3,,,,1,enabled,,preferredTransport: DR-8_Skyhook,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M11 MARAUDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11_Marauder_HM,25,base,,federation,ground,vehicle,mech,M11_Marauder_HM,Marauder_How,26,,,Machine_Bay,/,offset: 7.5,direct,1,1,BigUnit 90,,M11_Marauder_HM,2.5,,3.63,1.5,1,,marauder,,M11_Howitzer; M11_MG,,M11_Jet_Blast; M11_Mortar_Barrage,,1000,80,,4,,,30,,0.5,40,4.4,100,110; fliprotation: true; feetalignangle: 70,,60,,,,,,,,Sparks,bloodTexture: 3 always,,Marauder_Death,armored; gasImmune; fireproof; smogImmune,,performanceDamage; suppressionImmune; cannotCapture; bigCollisionLayer; canSelfDestruct; canPurchase,,,,,,,2,,,,,enabled,,preferredTransport: Drop_Pod; noPlayerInput: (),,,,,,exit: anim,,,,,,,
M11_Marauder_FM,18,base,,federation,ground,vehicle,mech,M11_Marauder_FM,Marauder_Flame,27,,,Machine_Bay,/,offset: 7.5,direct,1,1,BigUnit 90,,M11_Marauder_FF,2.5,,3.63,1.5,1,,marauder,,M11_Flamethrower; M11_Flamethrower_Silent,,M11_Fire_Blast; M11_AA_Barrage,,1000,80,,4,,,30,,0.5,40,4.4,100,110; fliprotation: true; feetalignangle: 70,,60,,,,,,,,Sparks,bloodTexture: 3 always,,Marauder_Death,armored; gasImmune; fireproof; smogImmune,,performanceDamage; suppressionImmune; cannotCapture; bigCollisionLayer; canSelfDestruct; canPurchase,,,,,,,2,,,,,enabled,,preferredTransport: Drop_Pod; noPlayerInput: (),,,,,,exit: anim,,,,,,,
M11_Marauder_GM,40,base,,federation,ground,vehicle,mech,M11_Marauder_GM,Marauder_Chain,25,,,Machine_Bay,/,offset: 7.5,direct,1,1,BigUnit 90,,M11_Marauder_GM,2.5,,3.63,1.5,1,,marauder,,M11_Gatling; M11_MG,,M11_Jet_Blast; M11_AA_Barrage,,1000,80,,4,,,30,,0.5,40,4.4,100,110; fliprotation: true; feetalignangle: 70,,60,,,,,,,,Sparks,bloodTexture: 3 always,,Marauder_Death,armored; gasImmune; fireproof; smogImmune,,performanceDamage; suppressionImmune; cannotCapture; bigCollisionLayer; canSelfDestruct; canPurchase,,,,,,,2,,,,,enabled,,preferredTransport: Drop_Pod; noPlayerInput: (),,,,,,exit: anim,,,,,effect: Bullet_Impact_Dust_Heavy,,
