name,id,featureflag,horizon color,fog color,fog color far,fog range,fog split,skybox,wind,ambient,angle,direction,color,intensity,shadow,shroud,water refraction,water reflection,water specular,ui alpha,fow,range cap,weather,ambient occlusion,bloom,vignette,preview color
Lava_Underground,54,,0 0 0,123 46 23 200,0 0 0,60 120,5.5,night 2.8,,138 67 52; 45 8 5; 173 59 40,142,-45,171 85 80,1.6,0.17 soft,0 0 0,88 83 60 102,111 103 75 55,,0.5,0.6,30,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Lava_Ash,55,,90 32 15,68 58 54,/,44 130.45,5.5,night 2.8,,/,29.3,120,154 111 97,1.6,0.828,13 4 2,254 135 99 255,120 103 75 0,,0.5,0.4,25,ash,mode: MultiScaleVolumetricObscurance; intensity: 0.75; color: 0 0 0,,,
Lava_Ash_Light,56,,90 32 15,110 90 75 200,/,80 128,3,night 2.8,,/,29.3,120,200 125 105,1.6,0.870,13 4 2,254 135 99 255,120 103 75 0,,0.75,0.5,35,ash light,mode: MultiScaleVolumetricObscurance; intensity: 1; color: 0 0 0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space_Station,57,,0 0 0,193 205 212 255,/,64.3 130.45,0.2,noon 1,,171 134 128; 171 134 128; 171 134 128,90,0,180 182 204,1.2,0.9 soft,0 0 0,88 83 60 102,111 103 75 55,,0.8,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1; color: 0 0 0,,,
Space_Station_Dark,58,,0 0 0,154 132 110 159,/,90 126.6,5.5,night 2.8,,173 124 114; 45 14 12; 114 38 24,90,0,179 66 18,1.2,0.8,13 4 2,88 83 60 102,111 103 75 55,,0.6,0.6,,,,,,
Space_Station01,59,,165 124 255,48 25 75,165 124 255,10 100,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Space_Station02,60,,165 124 255,48 25 75,165 124 255,10 100,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Space_Station03,61,,165 124 255,48 25 75,165 124 255,10 100,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Space_Station04,62,,165 124 255,48 25 75,165 124 255,10 100,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Space_Station05,63,,165 124 255,48 25 75,165 124 255,10 100,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Space_Station06,64,,165 124 255,48 25 75,165 124 255,10 100,0.2,dusk 0.8,,/,25,155,193 157 226,1.8,0.85,9 3 15,88 83 60 203,111 103 75 109,,1,1,,,,,,
Space_Station_Ash,65,,0 0 0,154 132 110 159,/,90 126.6,5.5,night 2.8,,173 124 114; 45 14 12; 114 38 24,90,0,179 66 18,1.2,0.8,13 4 2,88 83 60 102,111 103 75 55,,0.6,0.25,16,ash,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Space_Station_Fire,66,,0 0 0,154 132 110 159,/,90 126.6,5.5,night 2.8,,173 124 114; 45 14 12; 114 38 24,90,0,179 66 18,1.2,0.8,13 4 2,88 83 60 102,111 103 75 55,,0.6,0.35,20,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolis_Fog,70,,25 22 38,107 122 160,/,65 130,4,night 2.8,,173 124 114; 45 14 12; 114 38 24,33,133,123 107 142,2.2,0.6,1 1 3,88 83 60 0,53 45 40 0,,0.5,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Metropolis_Night,71,,25 22 38,107 122 160,/,70 140,5.5,night 2.8,,173 124 114; 45 14 12; 114 38 24,33,133,51 55 149,2,0.6,1 1 3,88 83 60 0,53 45 40 0,,0.5,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 0.7; color: 0 0 0,,,
Metropolis_Indoor,72,,0 0 0,193 205 212 255,/,64.3 130.45,0.2,noon 1,,171 134 128; 171 134 128; 171 134 128,90,0,180 182 204,1.2,0.9 soft,0 0 0,88 83 60 0,53 45 40 0,,0.8,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1.4; color: 0 0 0,,,
Metropolis_Indoor_Dark,73,,0 0 0,154 132 110 159,/,90 126.6,5.5,night 2.8,,173 124 114; 45 14 12; 114 38 24,90,0,179 66 18,1.2,0.8,0 0 0,173 142 118 0,70 37 23 0,222 173 122,0.6,0.6,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Metropolis_Indoor_Red,74,,0 0 0,154 132 110 159,/,90 126.6,5.5,night 2.8,,171 32 23; 84 11 4; 25 12 10,90,0,197 77 64,1.2,0.8,0 0 0,173 142 118 0,70 37 23 0,222 173 122,0.6,0.6,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Metropolis_Indoor_Green,75,,0 0 0,109 102 68 159,/,90 126.6,5.5,night 2.8,,97 88 67; 39 46 38; 26 21 20,90,0,98 120 74,1.2,0.9,0 0 0,173 142 118 0,57 58 31 0,222 173 122,0.6,0.6,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Metropolis_City,76,,25 22 38,107 122 160,/,70 140,4,night 2.8,,173 124 114; 45 14 12; 114 38 24,33,133,123 107 142,2.2,0.6,1 1 3,88 83 60 0,53 45 40 0,,0.5,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.3; color: 0 0 0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle_Noon,80,,140 102 69,203 180 118,214 174 136,72.1 136,2 ,noon 0.8,,/,55,75,255 228 206,1.6,0.828,2 5 3,88 83 60 203,111 103 75 109,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Dusk,81,,70 55 40,255 197 182,246 232 224,60 224,5.5,dusk 0.8,,/,35,40,255 219 206,1.5,0.828,41 15 5,88 83 60 203,111 103 75 109,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Night,82,,25 22 38,79 110 130,107 122 160,67 180,4,night 2.1,,142 130 255; 32 13 68; 13 9 79 ,38,135,66 111 255,1.4,0.6,1 1 3,88 83 60 0,111 103 75 0,,0.5,0.5,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Fog_Light,79,,1 5 4,114 135 120,63 82 75,70 150,4,green_jungle 0.8,,136 176 173; 166 171 140; 41 33 9,44,114,255 226 213,1.4,0.828,5 5 7,88 83 60 203,53 45 40 0,,0.5,0.7,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Fog,83,,1 5 4,114 135 120,63 82 75,55 124,4,green_jungle 0.8,,136 176 173; 166 171 140; 41 33 9,44,114,255 226 213,1.4,0.828,5 5 7,88 83 60 203,53 45 40 0,,0.5,0.7,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Sunrise,96,,109 43 14,245 157 119,176 113 86,70 160,4,green_jungle 0.8,,/,35,110,236 118 54,1.9,0.62,1 2 1,10 0 0 100,120 103 75 0,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.8; color: 39 51 20,,,
Jungle_Sunrise_2,97,,109 43 14,245 157 119,176 113 86,70 160,4,green_jungle 0.8,,/,23,29,236 118 54,1.9,0.9,123 49 17,10 0 0 100,120 103 75 0,,1,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.8; color: 39 51 20,,,
Jungle_Underground,84,,25 22 38,/,/,/,4,night 2.8,,,90,0,219 133 86,0.9,0.7,0 0 0,99 74 49 136,46 8 0 0,,0.5,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,intensity: 4; threshold: 0.85; diffusion: 4,intensity: 0.55; smoothness: 1; roundness:0.36,
Jungle_Underground_2,85,,0 0 0,/,/,/,5.5,night 3,,65 94 65; 45 40 40; 173 170 170,142,-45,171 170 170,0.65,0.05 soft,0 0 0,88 83 60 102,111 103 75 55,,0.5,1,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Light_Rain,86,,70 55 40,236 233 219,246 232 224,70 210,5.5,dusk 0.8,,/,35,40,255 219 206,1.5,0.82,37 23 16,88 83 60 203,111 103 75 109,,1,0.9,,Jungle_Rain,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Rain,98,,70 55 40,236 233 219,246 232 224,60 195,5.5,dusk 0.7,,/,35,40,255 255 237,1,0.6,37 23 16,88 83 60 203,111 103 75 109,,1,0.7,,Jungle_Rain,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Heavy_Rain,87,,71 79 49,243 255 206,/,56 240,4,noon 0.7,strength: 8; direction: (1 0),136 176 173; 166 171 140; 41 33 9,44,114,255 242 206,0.75,0.828,1 1 3,88 83 60 203,53 45 40 0,,0.5,0.4,30,Jungle_Rain_Heavy,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Night_Rain,88,,25 22 38,79 110 130,107 122 160,67 180,4,night 2.1,,142 130 255; 32 13 68; 13 9 79 ,38,135,66 111 255,1.4,0.8,1 1 3,88 83 60 0,111 103 75 0,,0.5,0.4,30,Jungle_Rain,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Night_Storm,89,,25 22 38,79 110 130,107 122 160,67 180,4,night 2.1,strength: 8; direction: (1 0),142 130 255; 32 13 68; 13 9 79 ,38,135,66 111 255,1.4,0.8,1 1 3,88 83 60 0,111 103 75 0,,0.5,0.3,25,Jungle_Rain_Heavy,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Jungle_Oasis,99,,140 102 69,255 186 136,214 174 136,66 130,1.8,noon 0.8,,/,55,75,255 228 206,1.6,0.828,17 10 6,31 91 69 160,126 147 149 0,,0.5,0.7,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost_Day,90,FrostDLC,40 35 15,206 176 148,214 174 136,30 150,0.2,night 2.8,,/,30,75,225 208 196,1.72,0.685 soft,17 10 6,0 0 0 203,111 103 75 0,,1,0.8,,Snow_New,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Frost_Day_Storm,91,FrostDLC,40 35 15,206 176 148,214 174 136,30 150,0.2,night 2.8,,120 120 120; 194 220 238; 175 207 197,30,75,225 208 196,1.72,0.897,17 10 6,0 0 0 203,111 103 75 0,,1,0.8,,Snow_Storm,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Frost_Day_Ice,92,FrostDLC,25 22 38,107 122 160,/,65 130,4,dawn 1.5,,75 76 115;  183 217 241; 217 170 156,30,99,225 208 196,1.3,1.5,17 10 6,0 0 0 203,111 103 75 0,,1,0.8,,Snow_Storm,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Frost_Underground_Ice,93,FrostDLC,25 22 50,107 100 160,/,65 130,4,night 2.8,,34 76 118;  20 67 101;201 232 241,33.5,177,193 205 217 ,1.05,0,6 10 17,0 0 0 203,111 103 75 0,,1,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Frost_Underground_Snow,94,FrostDLC,25 22 50,107 100 160,/,65 130,4,night 2.8,,83 90 96;  132 132 132;201 232 241,33.5,177,193 205 217 ,1.05,0,6 10 17,0 0 0 203,111 103 75 0,,1,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
Frost_Day_2,95,FrostDLC,25 22 38,107 122 160,/,65 130,4,dawn 1.5,,75 76 115;  183 217 241; 217 170 156,53,130,225 208 196,1.3,1.5,17 10 6,0 0 0 203,111 103 75 0,,1,0.8,,,mode: MultiScaleVolumetricObscurance; intensity: 1.1; color: 0 0 0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trenches_Fog,100,TrenchDLC,25 22 38,107 122 160,/,65 130,4,night 2.8,,173 124 114; 45 14 12; 114 38 24,33,133,123 107 142,2.2,0.6,1 1 3,88 83 60 0,53 45 40 0,,0.5,1,,,,,,
