name,id,dlc,featureflag,icon,slot,elite,charge,chargeEffect,cooldown,duration,shots,group,stars,experience,requiresUnitType,unlockCost,executeCost,trigger,traits,order type,target,target restrictions,radius,effect,effect2,effect3,effect4,effect5,followup
Demolition_Charge,70,base,,22,,3,,,30,0,/,default,3,200,,30,,,unlockable,action,area,range: 3,6,spawn = Demolition_Charge,,,,,
Activate_Demolition_Charge,24,base,,23,,,,,/,0,/,default,/,/,,,,,,no order,none,,,switch = Demolition_Charge_Short,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// SNIPER TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprint,58,base,,9,,,,,30,10,,default,/,/,,,,,,no order,none,,,stat = speed 170% ; timeBetweenAttacks 30% ; range 30%,//trait = shootThroughSoldiers false,,,,
Crippling_Shot,44,base,,8,,4,,,30,/,1,default,3,/,,30,,,unlockable,fire,unit,unit: (alliance: enemy),,weapon = Crippling_Shot,,,,,
Sensor_Flare,2,base,,10,,5,,,30,infinite,1,default,3,/,,30,,,unlockable,fire,area,,,weapon = Sensor_Flare 0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ROCKETEERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HE_Rocket,97,base,,12,,,,,40,infinite,1,default,/,/,,,,,,fire,area,,,weapon = HE_Rocket 0,,,,,
Canister_Rocket,50,base,,13,,10,,,40,infinite,1,default,3,/,,50,,,unlockable,fire,area,,,weapon = Canister_Rocket 0,,,,,
Fire_Rocket,77,base,,11,,11,,,40,infinite,1,default,3,/,,50,,,unlockable,fire,area,,5,weapon = Fire_Rocket 0,,,,,
Klendathu_Nuke,76,base,,/,,,,,/,infinite,1,default,/,/,,,,,editorOnly,fire,area,,,weapon = Klendathu_Nuke 0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// RADIO OPERATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinforce,39,base,,27,,,,,30,0,,default,/,400,,,,,,action,area,range: 14; walkRange: 28; tile: (notBlocked; requireFlat; noLandingPads; reachable; requireTileCenter),6,createdropsite = (),,,,,
Dropship_Strike,160,base,,28,,6,,,30,15,,default,3,/,,30,,,unlockable,action,area,range: 6,15,spawn = ADR-4_Thor,,,,,
Propaganda_Broadcast,99,base,,29,,7,,,30,infinite,1,default,3,/,,30,,,unlockable,fire,none,,20,weapon = Radio_Propaganda,stat_aoe = timeBetweenAttacks 80% ; affects: friendly,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// TACTICAL OFFICER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Designate_Target,17,base,,17,,,,,30,infinite,1,default,/,200,,,,,,fire,area,,6,weapon = Designated_Target_Flare 0,,,,,
Tactical_Command,129,base,,19,,13,,,30,15,,default,3,/,,30,,,unlockable,action,unit,range: 6; unit: (alliance: friendly),,stat = speed 150%,stat = timeBetweenAttacks 20%,,,,
Inspiring_Command,130,base,,18,,12,,,30,15,,default,3,/,,30,,,unlockable,no order,none,,10,stat_aoe = timeBetweenAttacks 50% ; affects: friendly,trait = suppressionImmune,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// FLEET LIAISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAC_Strike,133,base,,32,,,,,30,0,,default,/,400,,,,,,action,direction,range: 50,8,timeline = TAC_Strike,,,,,
Marines_Drop,134,base,,33,,16,,,30,0,,default,3,/,,50,,,unlockable; useSpawnTypeCost,action,area,range:40; walkRange: 60; tile: (notBlocked; requireFlat; noLandingPads; reachable; requireTileCenter),6,deploy = Marines,,,,,
Orbital_Strike,57,base,,34,,17,,,30,15,,default,3,/,,50,,,unlockable,action,area,range: 70,20,timeline = Orbital_Strike,,,,,
TAC_Strike_Cutscene,12,base,,32,,,,,1,0,,/,/,/,,,,,editorOnly,action,direction,,8,timeline = TAC_Strike,,,,,
TAC_Strike_Tripple,5,base,,/,,,,,1,0,/,/,/,/,,,,,editorOnly,action,direction,,,timeline = TAC_Strike_Triple,,,,,
TAC_FlyBy,13,base,,/,,,,,1,0,/,/,/,/,,,,,editorOnly,action,direction,,,timeline = TAC_FlyBy,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// E-PULSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery_Overload,14,base,,24,,,,,30,10,,default,/,/,,,,,,no order,none,,,changeweapon = E-Pulse_44_Boosted 0,,,,,Battery_Depleted
Battery_Depleted,15,base,,/,,,,,/,10,,default,/,/,,,,,hidden,no order,none,,,overheat = 10,,,,,
Battery_Bomb,4,base,,25,,14,,,30,infinite,1,default,3,/,,50,,,unlockable,fire,area,range: 10,,weapon = Battery_Projectile 0,,,,,
E-Pulse_Welder,45,base,,92,,20,,,/,0,,/,3,/,,50,,OnUnlock,unlockable,no order,none,,,switch = E-Pulse_Welders,,,,,
E-Pulse_Welder_Active,46,base,,92,,20,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
Battery_Light,9,base,,26,,,,,30,10,,default,/,/,,,,,hidden,no order,none,,,trait = nightVision,stat = timeBetweenAttacks 120%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MARAUDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11_Mortar_Barrage,22,base,,39,,22,,,60,infinite,1,default,3,/,,100,,,unlockable,fire,area,,15,weapon = M11_Mortar 2,,,,,
M11_Jet_Blast,110,base,,38,,23,,,60,infinite,1,default,3,/,,100,,,unlockable,fire,none,,,weapon = M11_Jet_Blast,,,,,
M11_Fire_Blast,111,base,,107,,23,,,60,infinite,1,default,3,/,,100,,,unlockable,fire,none,,,weapon = M11_Fire_Blast,,,,,
M11_AA_Barrage,112,base,,4,,22,,,60,infinite,1,default,3,/,,100,,,unlockable,fire,area,,,weapon = M11_AA_Burst 2,,,,,
M11_Shrapnel_Barrage,113,base,,5,,22,,,60,infinite,1,default,/,/,,,,,,fire,area,,,weapon = M11_Shrapnel_Burst 2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// POWER ARMOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activate_Jetpack,52,base,,44,,,,,/,0,,/,/,/,,,,,,no order,none,,,switch = default,,,,,
Deactivate_Jetpack,53,base,,45,,,,,/,0,,/,/,/,,,,,,no order,none,,,switch = default,,,,,
Rocket_Pack,55,base,,46,,18,,,/,0,,/,3,/,,100,,OnUnlock,unlockable,no order,none,,,switch = Power_Rocketeers,,,,,
Heavy_AR,54,base,,47,,19,,,/,0,,/,3,/,,100,,OnUnlock,unlockable,no order,none,,,switch = Power_Heavy,,,,,
Engineering_tools,56,base,,43,,20,,,/,0,,/,3,/,,100,,OnUnlock,unlockable,no order,none,,,switch = Power_Engineers,,,,,
Rocket_Pack_Unlocked,155,base,,46,,18,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
Heavy_AR_Unlocked,154,base,,47,,19,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
Engineering_tools_Unlocked,156,base,,43,,20,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// CHEMICAL TROOPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas_Volley,1004,base,,35,,,,,30,infinite,5,default,/,/,,,,,,fire,area,,,weapon = Insecticide_Volley,,,,,
Gas_Canister,1005,base,,36,,24,,,30,0,,default,3,/,,50,,,unlockable,action,none,,,spawn = Gas_Canister,,,,,
Gasthrower,1007,base,,37,,25,,,30,12,,default,3,/,,50,,,unlockable,action,none,,,changeweapon = Gasthrower 0,,,,,
Insecticide_Gas,1000,base,,/,,,,,/,infinite,1,,,/,,,,OnSpawn,,fire,none,,,weapon = Insecticide_Gas,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gate_Open,68,base,,7,,,1.4 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Gate_Close,69,base,,6,,,1.4 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Repair_To_Default,121,base,,/,,,,,/,0,,,,,,,,OnHealth(100),hidden,no order,none,,,switch = default,,,,,
Pre_Aim,98,base,,15,,,,,,infinite,1,,,,,,,,,fire,area,,,weapon = Fake_Weapon,,,,,
Door_DropSite_Switch,3463,base,,/,,,2.5 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Gate_Tall_Open,3464,base,,7,,,2.75 nocancel,Gate_Dust,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Gate_Tall_Close,3465,base,,6,,,2.75 nocancel,Gate_Dust,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Gate_Traffic_Open,3473,base,,7,,,2 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Gate_Traffic_Close,3474,base,,6,,,2 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demolish,200,base,,54,,,,,/,0,,,,,,,,,,no order,none,,,kill = (),,,,,
Manual_Switch,202,base,,/,,,,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Terminal_Turn_On,122,base,,/,,,,,/,0,,,,,,,,OnCapture,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OnCapture_Switch,1009,base,,/,,,,,/,0,,,,,,,,OnCapture,hidden,no order,none,,,switch = default,,,,,
Turret_Switch_AA,1002,base,,47,,,3,,/,0,,/,,/,,,,,,no order,none,,,switch = default,,,,,
Turret_Switch_Default,1003,base,,47,,,3,,/,0,,/,,/,,,,,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ARACHNID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// PLASMA BUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma_Strike,11,base,,/,,,,,60,infinite,1,,,,,,,,hidden,fire,area,,,weapon = Plasma,destinationMarker = type: PlasmaStrike; radius: effectRadius; minimap: PlasmaStrike; minimapColor: 129 111 233; notification: notification_plasma_warning; voiceClip: plasma_warning,,,,
Plasma_Strike_Scripted,78,base,,/,,,,,/,infinite,1,,,,,,,,editorOnly,fire,area,,,weapon = Plasma_Long,destinationMarker = type: PlasmaStrike; radius: effectRadius; minimap: PlasmaStrike; minimapColor: 129 111 233; notification: notification_plasma_warning; voiceClip: plasma_warning,,,,
Plasma_Orbital_Scripted,42,base,,/,,,,,/,infinite,1,,,,,,,,editorOnly,fire,area,,,weapon = Plasma_Orbital,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// TANKER BUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid_Pool,18,base,,/,,,,,/,infinite,1,,,/,,,,OnSpawn,,fire,none,,,weapon = Tanker_Acid_Burn,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// GRENADIER BUGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homing_Plasma,114,base,,/,,,,,/,infinite,1,,,,,,,,editorOnly,fire,area,,,weapon = Homing_Plasma,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// BRAIN BUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//Psychic_Overload,20,base,,/,,,,,60,5,,,,,,,,,,fire,none,,,weapon = Psychic_Shock,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// GENERIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrow,135,base,,/,,,,,/,0,,,,,,,,,,action,none,,,switch = default,,,,,
Unburrow,136,base,,/,,,,,/,0,,,,,,,,,,action,none,,,switch = default,,,,,
Deploy,32,base,,81,,,,,/,0,,,,,,,,,,action,none,,,switch = default,,,,,
Undeploy,33,base,,80,,,,,/,0,,,,,,,,,,action,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// LAVA DLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// FRAG TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switch_Frag_Direct,1013,lava,,49,,,1,,/,0,,,,,,,,,,action,none,,,switch = default,,,,,
Switch_Frag_Indirect,1014,lava,,48,,,1,,/,0,,,,,,,,,,action,none,,,switch = default,,,,,
Frag_Mine_Deploy,1019,lava,,51,,27,,,30,0,/,default,3,,,50,,,unlockable,action,area,range: 2,,spawn = Frag_Mine,,,,,
Fire_Mine_Deploy,1020,lava,,50,,26,,,30,0,/,default,3,,,50,,,unlockable,action,area,range: 2,7,spawn = Fire_Mine,,,,,
Frag_Mine_Fire,1025,lava,,/,,,,,30,infinite,1,,,/,,,,OnIdle,hidden,fire,none,,,weapon = Frag_Mine_Explosion,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// SHREDDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shredder_Heated_Rounds,1021,lava,,31,,31,,,30,infinite,1,default,3,/,shredder_turret,50,,,unlockable,fire,area,,,weapon = Shredder_Heated_Shot,,,,,
Shredder_Stimpack,2025,lava,,30,,30,1,,30,10,,default,3,/,shredder,50,,,unlockable,no order,none,,,changeweapon = Shredder_Minigun_Stim,stat = speed 170%,,,,Shredder_Depleted
Shredder_Depleted,2026,lava,,/,,,,,/,20,,default,/,/,,,,,hidden,no order,none,,,overheat = 10,stat = speed 70%,,,,
Shredder_Turret_Mode,2027,lava,,53,,,4,,/,0,,default,/,/,,,,,,action,none,,,switch = Shredder_Turret,,,,,
Shredder_Default_Mode,2029,lava,,52,,,1,,/,0,,default,/,/,,,,,,action,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// DRILLING BIPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mech_Engineer_Default,1022,lava,,40,,,,,40,10,/,default,/,400,,,,,,no order,none,,,stat = heal 20,stat = speed 50%,changeweapon = (),,,
Mech_Engineer_Elite_1,1023,lava,,41,,28,,,40,10,,default,3,/,,80,,,unlockable,fire,none,,,weapon = Smog_Release,,,,,
Mech_Engineer_Elite_2,1024,lava,,42,,29,,,40,7,,default,3,/,,80,,,unlockable,no order,none,,,spawn_trail = firetype: mech_fire_unit; spawninterval: 0.5; duration: 7; mindistance: 1; sound: Mech_Fire_Trail,stat = speed 150%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// LIGHT MECH ENGINEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mech_Engineer_Grenade,1105,lava,,14,,1,,,30,infinite,1,default,3,/,,30,,,unlockable,fire,area,,6,weapon = Mech_Engineer_Grenade 1,,,,,
Mech_Engineer_Drone,1106,lava,,119,,63,,,/,0,,/,3,/,,30,,OnUnlock,unlockable,no order,none,,,switch = Mech_Engineer_Light_Host,,,,,
Mech_Engineer_Drone_Active,1107,lava,,119,,63,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// RIFLE MERCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merc_Grenade,1030,lava,,14,,,,,30,infinite,1,default,/,/,,,,,,fire,area,,6,weapon = Merc_Grenade 0,,,,,
Merc_Grenade_Barrage,1102,lava,,3,,35,,,30,infinite,7,default,3,/,,30,,,unlockable,fire,area,,,weapon = Merc_Grenade_Volley,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// SNIPER MERC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merc_Sniper_Boosted,1104,lava,,/,,,,,/,10,,default,/,/,,,,,hidden,no order,none,,,stat = attack 50%; timeBetweenAttacks 30%; range 40%,,,,,
Merc_Decoy_Flares,1103,lava,,115,,,,,30,infinite,1,default,/,/,,,,,,fire,area,,weapon: burst,weapon = Decoy_Flares 0,,,,,Merc_Sniper_Boosted
Sniper_Merc_Elite_A,1108,lava,,116,,44,,,/,0,,/,3,/,,30,,OnUnlock,unlockable,no order,none,,,switch = Sniper_Merc_Leader,,,,,
Sniper_Merc_Elite_B,1109,lava,,117,,29,,,/,0,,/,3,/,,30,,OnUnlock,unlockable,no order,none,,,switch = Sniper_Merc_Wolf,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incendiary_Strike,1018,lava,,32,,,,,40,0,,,/,/,,,,,,action,direction,range: 50,8,timeline = Incendiary_Strike,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// POWER_FLAMERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyro_Grenade,1036,lava,,20,,,,,30,infinite,1,default,/,/,,,,,,fire,area,,4,weapon = Pyro_Grenade 0,,,,,
Hyper_Metabolism,1031,lava,,45,,45,,,15,10,,default,3,,,100,,,unlockable,no order,none,,,stat = heal 20,trait = suppressionImmune,stat = speed 150%,,,
Flame_Trap_Deploy,1032,lava,,50,,26,,,15,0,/,default,3,,,100,,,unlockable,action,area,range: 2,7,spawn = Flame_Trap,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power_Fire_Boost,1034,lava,,19,,13,,,30,infinite,,/,/,/,,,,Always,hidden,no order,none,,5,stat_aoe = timeBetweenAttacks 80% ; filter: power_flamers,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcano_Erupt,1100,lava,,/,,,,,/,0,,,,,,,,,,no order,none,,,timeline = Volcano_Eruption,,,,,
Volcano_Erupt_Medium,1101,lava,,/,,,,,/,0,,,,,,,,,,no order,none,,,timeline = Volcano_Eruption_Medium,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// WALL VENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall_Vent_Open,3468,base,,7,,,1 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Wall_Vent_Close,3469,base,,6,,,4.5 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// METROPOLIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// POLICE SQUAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police_Grenade,3447,metro,,88,,,,,40,infinite,1,default,/,/,,,,,,fire,area,,4,weapon = Police_Grenade 0,,,,,
Talkie_Bomb,3439,metro,,89,,32,,,40,infinite,1,default,3,/,,30,,,unlockable,fire,area,,10,weapon = Talkie_Bomb_Shot 0,,,,,
Kamikaze_Drone,3438,metro,,90,,33,,,40,0,/,default,3,/,,30,,,unlockable,no order,none,,,spawn = Kamikaze_Drone,,,,,
Drone_Kamikaze,1001,metro,,84,,,,,/,infinite,1,default,/,/,,,,,,fire,none,,,weapon = Drone_Explode,,,,,
Police_Grenade_Fire,3450,metro,,/,,,,,30,infinite,1,,,/,,,,OnIdle,hidden,fire,none,,,weapon = Police_Grenade_Explosion,,,,,
Flash_Bang,3409,metro,,91,,,,,30,infinite,1,default,/,/,,,,,,fire,area,,,weapon = Flash_Bang 0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// TECHNICIANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanical_Maintenance,3435,metro,,/,,,,,30,infinite,,/,/,/,,,,Always,hidden,no order,none,,4,stat_aoe = timeBetweenAttacks 80% ; affects: friendly ; filter: (attribute:electroTurret),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// PEACEKEEPER BIPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peacekeeper_Drone_Deploy,3445,metro,,76,,34,,,/,0,,/,3,/,,30,,OnUnlock,unlockable,no order,none,,,switch = Peacekeeper_Biped_Drone,,,,,
Peacekeeper_Drone_Active,3444,metro,,76,,34,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
Peacekeeper_Gas,3446,metro,,75,,28,,,30,infinite,15,default,3,/,,30,,,unlockable,fire,none,,,weapon = Peacekeeper_Gas_Release 1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// J.A.C. TROOPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marksman_Jump,3428,metro,,72,,,,,10,infinite,/,default,/,/,,,,,,abilitystate,area,range: 20; tile: (maxRange; requireMaxRange; maxHeightDifference; requirePlayable; notBlocked; autoadjustwall; viewGridBorder: 2),,jump = effectTimeline: marksman; takeOff: MechanizedMarksman_AbilityJumpStart; fly: MechanizedMarksman_AbilityJumpBusy; Dust: Jet_Dust,,,,,
Low_Velocity_Round,3437,metro,,67,,35,,,30,infinite,1,default,3,/,,50,,,unlockable,fire,area,,,weapon = Low_Velocity_Shot,,,,,
Marksman_Bomb_Drop,3453,metro,,68,,36,,,10,infinite,/,default,3,/,,50,,,unlockable,abilitystate,area,range: 20; tile: (maxRange; requireMaxRange; maxHeightDifference; requirePlayable; notBlocked; autoadjustwall; viewGridBorder: 2),,jump = effectTimeline: marksman; takeOff: MechanizedMarksman_AbilityJumpStart; fly: MechanizedMarksman_AbilityJumpBusy; Dust: Jet_Dust; actionOnTimeline: (weapon: JAC_Bomb; timelinePos: 0.5),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// RIOT SHIELD SQUAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riot_Brace,1008,metro,,64,,,,,30,10,,default,/,/,,,,,,action,none,,,stat = armor 500%,stat = speed 1%,trait = suppressionResistant,,,
Riot_Decoy_Deploy,3449,metro,,65,,38,,,30,infinite,3,default,3,/,,50,,,unlockable,fire,area,,,weapon = Decoy_Deploy_Shot 0,,,,,
Riot_Autoturret_Deploy,3451,metro,,66,,37,,,30,infinite,1,default,3,/,,50,,,unlockable,fire,area,,15,weapon = Auto_Turret_Pod 0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// HOVER AUTOCANNON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hover_Tank_Jump,3424,metro,,72,,,,,10,infinite,/,default,/,/,,,,,,abilitystate,area,range: 30; tile: (maxRange; requireMaxRange; maxHeightDifference; requirePlayable; notBlocked; autoadjustwall; viewGridBorder: 2),,jump = effectTimeline: autocannon; takeOff: HoverCannon_AbilityJumpStart; Dust: Jet_Dust,,,,,
Hover_Tank_Jump_Bash,3436,metro,,73,,39,,,10,infinite,/,default,3,/,,80,,,unlockable,abilitystate,area,range: 30; tile: (maxRange; requireMaxRange; maxHeightDifference; requirePlayable; notBlocked; autoadjustwall; viewGridBorder: 2),,jump = effectTimeline: autocannon; takeOff: HoverCannon_AbilityJumpStart; Dust: Jet_Dust; configId: 1; actionOnTimeline: (weapon: Mech_Jump_Impact; timelinePos: 1),,,,,
Hover_Tank_Bash_Damage,3425,metro,,/,,,,,/,/,1,,/,/,,,,,hidden,fire,none,,,weapon = Mech_Jump_Impact,,,,,
Hover_Tank_Repairer,3448,metro,,74,,20,,,/,0,,/,3,/,,80,,OnUnlock,unlockable,no order,none,,,switch = Hover_Autocannon_Repairer,,,,,
Hover_Tank_Repairer_Active,3452,metro,,74,,20,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// PEGASUS GUNSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunship_Ability,3429,metro,,69,,,,,40,infinite,1,default,/,/,,,,,,fire,area,,,weapon = Gunship_Missile_Barrage,,,,,
Gunship_Reaper_Missile,3433,metro,,71,,40,,,40,infinite,1,default,3,/,Pegasus_Gunship,100,,,unlockable,fire,unit,unit: (alliance: enemy; filter:(categoryExclude: air)),,weapon = Gunship_Missile_Strike 1,,,,,
Gunship_Bomb,3430,metro,,70,,41,,,40,infinite,1,default,3,/,Pegasus_Gunship,100,,,unlockable,fire,area,,,weapon = Gunship_Bomb 1,,,,,
Gunship_Deploy,3480,metro,,69,,,4 nocancel,,40,0,,/,/,/,,,,,,action,area,range: 30; rangeMin: 15,15,switch = Pegasus_Gunship_Deployed,guardarea = store,,,,
Gunship_Undeploy,3481,metro,,118,,,2 nocancel,,40,0,,/,/,/,,,,,,action,none,,,switch = Pegasus_Gunship,guardarea = disable,,,,
Gunship_GuardArea,3482,metro,,/,,,,,,,,,,,,,,OnSwitch,hidden,no order abilitystate,none,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MISSILE HEXAPOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainmaker_Deploy,3414,metro,,81,,,4 nocancel,,/,0,,default,/,/,,,,,,no order,none,,,switch = default,,,,,
Rainmaker_Undeploy,3415,metro,,80,,,6 nocancel,,/,0,,default,/,/,,,,,chargeResetTurret,no order,none,,,switch = default,,,,,
