name,id,dlc,featureflag,daytimes,terrain,unitModelGroup,waterType,waterColor,fogType
,,,,,,,,,
Metropolis,9,metro,,Metropolis_Fog; Metropolis_Night; Metropolis_City; Metropolis_Indoor; Metropolis_Indoor_Dark; Metropolis_Indoor_Red; Metropolis_Indoor_Green,Metropolis_Pavement; Metropolis_Sidewalk; Metropolis_2; Metropolis_3; Metropolis_4; Metropolis_Sand; Metropolis_Pebbles; Metropolis_Grass; Metropolis_Pavement_Sandy; Metropolis_Sidewalk_Sandy; Metropolis_Sidewalk_Pavement,metro,waterMuddy,,fade
Metropolis_Underground,10,metro,,Metropolis_Fog; Metropolis_Night; Metropolis_City; Metropolis_Indoor; Metropolis_Indoor_Dark; Metropolis_Indoor_Red; Metropolis_Indoor_Green,Metropolis_Pavement; Metropolis_Sidewalk; Metropolis_2; Metropolis_3; Metropolis_4; Metropolis_Sand; Metropolis_Rocks; Metropolis_Pavement_Sandy; Metropolis_Sidewalk_Sandy; Metropolis_Sidewalk_Pavement; Metropolis_Rocks_Sandy; Metropolis_Rock_Slopes; Black ; Metropolis_Grid_Rocks;Metropolis_Grid_Sand; Metropolis_Tiles_Rocks,metro,waterMuddy,,fade
,,,,,,,,,
Terra,11,,StormDLC,Storm_Noon; Storm_Dusk; Storm_Night; Sun_Neutral; Sun_Yellow; Sun_Orange; Sun_Red; Sun_Purple,Terra_Grass;Terra_Grassy_Sand; Terra_Ground; Terra_Ground_Cracks; Terra_Pavement3;  Terra_Rocks; Terra_Tiles; Terra_Platform; Terra_Grass_Ground; Terra_Soil_Grass; Terra_Tiles_Soil,,,,
,,,,,,,,,
Jungle,12,jungle,,Jungle_Noon; Jungle_Dusk; Jungle_Night; Jungle_Sunrise;Jungle_Sunrise_2;Jungle_Fog_Light;Jungle_Fog; Jungle_Light_Rain;Jungle_Rain; Jungle_Heavy_Rain; Jungle_Night_Rain; Jungle_Night_Storm,Jungle_Grass;Jungle_Grass_Flat;Jungle_Grassy_Sand; Jungle_Ground; Jungle_Ground_Cracks; Jungle_Pavement3;  Jungle_Rocks; Jungle_Tiles; Jungle_Platform; Jungle_Grass_Ground; Jungle_Soil_Grass; Jungle_Tiles_Soil; Jungle_Rocks_Grass; Jungle_Rockier_Grass ;Jungle_Pavement_Grass; Jungle_Grass_Red_Ground; Jungle_Shallow_Water,jungle,waterjungle,,fade
Jungle_Underground,13,jungle,,Jungle_Underground; Jungle_Underground_2,Jungle_Grass;Jungle_Grass_Flat;Jungle_Grassy_Sand; Jungle_Ground; Jungle_Ground_Cracks; Jungle_Pavement3;  Jungle_Metal_Grid; Jungle_Tiles; Jungle_Platform; Jungle_Grass_Ground; Jungle_Soil_Grass; Jungle_Tiles_Soil;  Jungle_Rocks_Grass; Jungle_Rockier_Grass; Black ; Jungle_Underground_Soil,jungle,waterjungle,,
Jungle_Oasis,18,jungle,,Jungle_Noon; Jungle_Dusk; Jungle_Night; Jungle_Sunrise;Jungle_Sunrise_2;Jungle_Fog_Light;Jungle_Fog; Jungle_Light_Rain;Jungle_Rain; Jungle_Heavy_Rain; Jungle_Night_Rain; Jungle_Night_Storm; Desert_Sandstorm;Jungle_Oasis,Oasis_Sand;Oasis_Sand_Flat; Oasis_Pebbles_Sand; Oasis_Rocky_Sand; Oasis_Dunes;Oasis_Dunes_Sand; Oasis_Dunes_Pebbles; Oasis_Ground;Oasis_Pebbles;Oasis_Jungle_Grass;Oasis_Grass_Pebbles; Oasis_Rocks;Oasis_Pavement;Oasis_Platform;Oasis_Shallow_Water,jungle,waterjungle,,fade
,,,,,,,,,
Frost,14,,FrostDLC,Frost_Day; Frost_Day_2; Frost_Day_Storm; Frost_Day_Ice ; Frost_Underground_Ice ; Frost_Underground_Snow,Frost_Snow; Frost_Snow_High; Frost_Ice ; Frost_Rocks; Frost_Pavement; Frost_Snow_Rough; Frost_Platform; Frost_IDK ;Frost_Snow_Blend; Frost_Snow_Rough_Blend; Frost_Snowy_Platform; Frost_Snowy_Rocks;Frost_Snowy_Ice,,,,
Frost_Underground,15,,FrostDLC,Underground; Frost_Underground_Ice; Frost_Underground_Snow,Frost_Snow; Frost_Snow_High; Frost_Ice ; Frost_Rocks; Frost_Pavement; Frost_Snow_Rough; Frost_Platform; Frost_IDK ;Frost_Snow_Blend; Frost_Snow_Rough_Blend; Frost_Snowy_Platform; Frost_Snowy_Rocks;Frost_Snowy_Ice; Black,,,,
