name,id,dlc,featureflag,group,size,level,variations,scale,facing,mask,autofloodfill,traits
Cables,121,base,,power,1,,8,,,,,baseHeight; freePlacing
Generator,48,base,,power,2,2,2,,,,,blocking
Generator_Medium,56,base,,power,1 2,,,,,,,blocking
Generator_Small,55,base,,power,1,,2,,,,,blocking;
Generator_Commutator,98,base,,power,1,1,,,,,,blocking; baseHeight
Generator_Turbine,99,base,,power,3 1,2,,,,,,blocking; baseHeight
Generator_Commutator_Broken,100,base,,power,1,1,,,,,,blocking; baseHeight
Generator_Turbine_Broken,101,base,,power,3 1,2,,,,,,blocking; baseHeight
Container,13,base,,containers; industry,1 2,1,2,,10,,,blocking
Dumpster,105,base,,containers; garbage,1,1,6,,,,,blocking;
Airco_Small,109,base,,rooftop,1,,2,,,,,blocking;
Airco_Large,110,base,,industry; rooftop,1 2,1,2,,,,,blocking; baseHeight
Crane_Large,69,base,,industry; construction,2,,,,,,,blocking; freeFacing
Pipes_Stack,70,base,,pipes,1,1,2,,10,,,blocking
Pipes_Straight,39,base,,pipes,1,1,,,,,,blocking; baseHeight
Pipes_Straight_Broken,117,base,,pipes,1,1,,,,,,blocking; baseHeight
Pipes_End,40,base,,pipes,1,1,,,,,,blocking; baseHeight
Pipes_Corner,41,base,,pipes,1,1,,,,,,blocking; baseHeight
Pipes_T_Split,42,base,,pipes,1,1,,,,,,blocking; baseHeight
Pipes_X_Split,43,base,,pipes,1,1,,,,,,blocking; baseHeight
Pipes_Diagonal,51,base,,pipes,2,1,2,,,,,blocking; baseHeight
Pipes_Thin,90,base,,pipes,1,,10,,,,,baseHeight
Fuel_Tank,80,base,,industry,2 1,1,,,,,,blocking
Silo_Small,53,base,,industry,1,,2,,,,,blocking;
Silo_Medium,59,base,,industry,3,3,,,,,,blocking;
Silo_Large,54,base,,industry,4,4,2,,,,,blocking;
Chimney_Large,58,base,,industry,1,,2,,,,,blocking;
Chimney_1x2,92,base,,industry,2 1,2,,,,,,blocking; baseHeight
Corridor,81,base,,barriers,1,1,3,,,,,blocking; baseHeight
Heavy_Wall,111,base,,barriers,1,1,5,,,,,blocking; baseHeight
Outpost_Pillar_Small,46,base,,base,1,,,,,,,freePlacing; baseHeight
Outpost_Pillar_Large,47,base,,base,1,,,,,,,freePlacing; baseHeight
Rock_Spike,49,base,,rocks,3,4,2,,,,,blocking; freeFacing; baseHeight
Rock_Arc,50,base,,rocks,3,,,,,,,freeFacing; freePlacing
Settler_House,57,base,,settlement,2,1,2,,,,,blocking
Settler_House_Tall,71,base,,settlement,2,2,2,,,,,blocking
Settler_House_Fill,5073,base,,settlement,1,,2,,,,,
Settler_House_Piece,5074,base,,settlement,,,15,,,,,freePlacing
Settler_Shack,87,base,,settlement,1,1,,,,,,blocking
Settlement_Wall,83,base,,settlement; barriers,1,1,,,,,,blocking; baseHeight
Settlement_Wall_Extra,84,base,,settlement; barriers,1,1,8,,,,,blocking; baseHeight
Settlement_Wall_Medium,94,base,,settlement; barriers,1,1,,,,,,blocking; baseHeight
Settlement_Wall_Medium_Extra,95,base,,settlement; barriers,1,1,8,,,,,blocking; baseHeight
Bench,88,base,,settlement,,,,1.2,,,,freePlacing
Table,89,base,,settlement,,,,,,,,freePlacing
Poster,120,base,,culture,1,,4,,,,,baseHeight
Sign,72,base,,culture,1,,1,,,,,
Decal_Federation_Logo,52,base,,decals,4,,,,,,,freeFacing; freePlacing
Banner_Federation,106,base,,culture,1,,2,,,,,
Decal_Painted_Line,65,base,,decals,1,,7,,,,,bendOverTerrain; freePlacing; terrainObject
Decal_Painted_Text,66,base,,decals,1,,3,,,,,bendOverTerrain; freePlacing; terrainObject
Concrete_Wall,85,base,,barriers,1,1,,,,,,blocking; baseHeight; noEditor
Concrete_Wall_Extra,86,base,,barriers,1,1,,,,,,blocking; baseHeight; noEditor
Delivery_Platform,122,base,,industry; base,2,,,,,,,noEditor
Oil_Pump,36,base,,industry,1 2,2,,,,,,blocking; baseHeight; noEditor
Decal_Concrete_Crack,67,base,,destruction,2 6,,1,,,,,bendOverTerrain; freePlacing; freeFacing; terrainObject
Decal_Sand_Crack,68,base,,destruction,2 6,,1,,,,,bendOverTerrain; freePlacing; freeFacing; terrainObject
Fire_Small,74,base,,destruction,2,,,,,,,freePlacing; randomRotation
Fire_Medium,114,base,,destruction,3,,,,,,,freePlacing; randomRotation
Fire_Large,115,base,,destruction,4,,,,,,,freePlacing; randomRotation
Blood_Pool,129,base,,carnage,1,,8,,,,,freeFacing; freePlacing
Corpse_Infantry,76,base,,carnage,1,,3,,,,,freeFacing; freePlacing
Corpse_Civilian,77,base,,carnage,1,,6,,,,,freeFacing; freePlacing
Corpse_Chariot,2080,base,,carnage,1,,3,,,,,freeFacing; freePlacing
Corpse_Warrior,75,base,,carnage,1,,3,0.85 1,,,,freeFacing
Corpse_Hopper,2081,base,,carnage,1,,2,,,,,freeFacing; freePlacing
Corpse_Stinger,134,lava,,carnage,1,,2,,,,,freeFacing; freePlacing
Cow_Dead01,2240,base,,carnage,1,,2,,,,,freeFacing; freePlacing; randomRotation
Dropship_Crashed,2021,base,,destruction; vehicles,3,,2,,,,,freeFacing; freePlacing
Tac_Fighter_Crashed01,2190,base,,destruction; vehicles,2,,1,,,,,blocking; freeFacing
Rubble_1x1,12,base,,destruction,1,,,,,,,blocking; bendOverTerrain; terrainObject
Debris_1x1,2006,base,,destruction,1,,3,,,,,freeFacing; freePlacing
Debris_2x1,2007,base,,destruction,1,,2,,,,,freeFacing; freePlacing
Debris_2x2,2008,base,,destruction,1,,2,,,,,blocking
Debris_4x4,2011,base,,destruction,2,,2,2,,,,blocking
Debris_single,2009,base,,destruction,1,,3,,,,,freeFacing; freePlacing
Debris_Light_2x2_1,2160,base,,destruction,1,,1,,,,,bendOverTerrain; freePlacing; freeFacing
Debris_Light_4x2_1,2161,base,,destruction,1,,1,,,,,bendOverTerrain; freePlacing; freeFacing
Debris_Light_4x4_1,2162,base,,destruction,1,,2,,,,,bendOverTerrain
Ruins_03,2170,base,,destruction,1,,1,,,,,baseHeight
Ruins_04,2171,base,,destruction,1,,1,,,,,baseHeight
Ruins_06,2172,base,,destruction,1,,1,,,,,baseHeight
Ruins_07,2173,base,,destruction,1,,1,,,,,baseHeight
Ruins_08,2174,base,,destruction,1,,1,,,,,baseHeight
Ruins_10,2175,base,,destruction,1,,1,,,,,baseHeight
Ruins_11,2176,base,,destruction,1,,1,,,,,baseHeight
Smoke_Screen,130,lava,,volcanic,1,2,,,,,,randomRotation; noEditor
Terrain_Light_Orange,131,base,,light,,,2,,,,,freePlacing
Terrain_Light_Red,133,base,,light,,,4,,,,,freePlacing
,,,,,,,,,,,,
// UNDERGROUND,,base,,,,,,,,,,
Cave_Light,500,base,,light; internal,1,,,,,,,freePlacing
Cave_Light_Shadow,501,base,,light; internal,1,,,,,,,freePlacing
Entrance_Light,502,base,,light; internal,1,,,,,,,freePlacing
,,,,,,,,,,,,
// SPECIAL,,base,,,,,,,,,,
Tile_Blocker,22,base,,blockers,1,,,,,,,blocking; editorOnly
Tile_Blocker_2x2,2012,base,,blockers,2,,,,,,,blocking; editorOnly
LOS_Blocker,23,base,,blockers,1,1,,,,,,blocking; baseHeight; editorOnly
LOS_Blocker_2,135,base,,blockers,1,2,,,,,,blocking; baseHeight; editorOnly
LOS_Blocker_3,136,base,,blockers,1,3,,,,,,blocking; baseHeight; editorOnly
LOS_Blocker_4,137,base,,blockers,1,4,,,,,,blocking; baseHeight; editorOnly
LOS_Blocker_5,34,base,,blockers,1,5,,,,,,blocking; baseHeight; editorOnly
Shadowplane,1009,base,,internal,1,,1,,,,,baseHeight
Shadowplane_2x2,1025,base,,internal,2,,1,,,,,baseHeight
Shadowplane_3x3,1026,base,,internal,3,,1,,,,,baseHeight
Bug_Tunnel,79,base,,/,2,,,,,Bug_Hole_Small 2,,baseHeight; noEditor
Bug_Cave_Sloped,1043,base,,/,3,0,1,1,,Bug_Hole_Sloped 2,,baseHeight; noEditor
Bug_Lair,125,base,,/,2,,,,,Bug_Lair 2,,baseHeight; noEditor
Bug_Shaft,60,base,,/,2,,,,,Bug_Shaft 50,,baseHeight; noEditor
Bug_Metro,138,base,,/,2,,,,,Bug_Metro 2,,baseHeight; noEditor
,,,,,,,,,,,,
// SLOPES,,base,,,,,,,,,,
Stairs,26,base,,slopes,1,,,,,,,baseHeight
Slope_Ventilation,82,base,,slopes,1,,2,,,,,baseHeight
Ramp_Edge,78,base,,slopes,1,,4,,,,,baseHeight
,,,,,,,,,,,,
Gas_Pump,1000,base,,city,1,0,,,,,,blocking
Oil_Spill,1001,base,,decals,1,0,4,,,,,freeFacing; freePlacing; terrainObject
Storage_Box,1002,base,,containers,1,0,3,0.5,,,,freeFacing; freePlacing; terrainObject
Signal_Flare,1003,base,,/,1,0,,0.5,,,,freePlacing; terrainObject
Metro_Entrance,1004,base,,city,2,,,,,Basement_2x2,,blocking; baseHeight
Crystals,1006,base,,rocks,1,0,3,,,,,freeFacing; freePlacing; randomRotation; terrainObject
Internal_Stairs,1007,base,,internal; industry; base; rooftop,1,0,7,,,,,baseHeight
Terrain_Black,1010,base,,internal,1,,,,,,,bendOverTerrain; terrainObject; blocking; isUndergroundBlackTop
Janitor_Bucket,1011,base,,internal,1,,1,,,,,freeFacing; freePlacing; terrainObject
Janitor_Mop,1012,base,,internal,1,,1,,,,,freeFacing; freePlacing; terrainObject
Janitor_Sign_wet_floor,1013,base,,internal,1,,1,,,,,freeFacing; freePlacing; terrainObject
Table_Cantina,1014,base,,internal,1,,1,,,,,blocking
Benchpress,1015,base,,internal,1,,1,,,,,blocking
Benchpress_Weight_stack,1016,base,,internal,1,,1,,,,,freeFacing; freePlacing; terrainObject
Office_Desk,1017,base,,internal,1,,1,,,,,freePlacing
Office_Wall,1018,base,,internal,1,,2,,,,,freePlacing
Light_Wall,1019,base,,light,1,,2,,,,,freePlacing; terrainObject
Light_Wall_Horizontal,5207,base,,light,1,,1,,,,,freePlacing; terrainObject
Prison_Drain,1021,base,,decals,1,,2,,,,,freePlacing; terrainObject
Floor_Crack,1022,base,,decals,1,,2,,,,,freeFacing; freePlacing; terrainObject
Office_Chair,1023,base,,internal,1,,,,,,,freeFacing; freePlacing
Office_Carpet,1024,base,,internal; decals,1,,,,,,,freeFacing; freePlacing; terrainObject
Desk,1027,base,,internal,1,,,,,,,freePlacing
Rocks_Big_Cave_0,1036,base,,rocks; internal,2,0,1,1,,,,freeFacing
Rocks_Big_Cave_1,1037,base,,rocks; internal,2,0,1,1,,,,freeFacing
Rocks_Big_Cave_2,1038,base,,rocks; internal,1,0,1,1,,,,freeFacing
Rocks_Big_Cave_3,1039,base,,rocks; internal,2,0,1,1,,,,freeFacing
Rocks_Big_Cave_4,1040,base,,rocks; internal,2,0,1,1,,,,freeFacing
ConcreteDamaged,1041,base,,decals,1,0,5,1,,,,freeFacing; freePlacing; terrainObject
GroundCrack,1042,base,,decals,1,0,2,1,,,,freeFacing; freePlacing; terrainObject
Rocks_M_0,1044,base,,rocks,2 1,0,1,1,,,,freeFacing
Rocks_M_1,1045,base,,rocks,2,0,1,1,,,,freeFacing; baseHeight
Rocks_M_2,1046,base,,rocks,1,0,1,1,,,,freeFacing
Rocks_M_3,1047,base,,rocks,2 1,0,1,1,,,,freeFacing
Rocks_M_4,1048,base,,rocks,2 1,0,1,1,,,,freeFacing
Rocks_M_5,1049,base,,rocks,1,0,1,1,,,,freeFacing
Rocks_M_6,1050,base,,rocks,3 2,0,1,1,,,,freeFacing
Loudspeaker_Tower,1051,base,,base,1,0,1,1,,,,freePlacing
Fence,1052,base,,internal; industry; base,1,0,3,1,,,,baseHeight
Level_Wall,1053,base,,decals,1,0,9,1,,,,terrainObject; freePlacing
,,,,,,,,,,,,
Outpost_Tile,2000,base,,industry; base,1,,4,,,,,terrainObject; baseHeight
Radar_Small,2001,base,,industry; base; rooftop,1,,2,,,,,blocking
Crate_Sheeted01,2002,base,,containers,1,1,1,,5,,,blocking
Crate_Sheeted02,2003,base,,containers,1,1,1,,5,,,blocking
Crate_Base01,2004,base,,containers,1,,1,,5,,,freePlacing
Crate_Base02,2005,base,,containers,1,,1,,5,,,freeFacing; freePlacing
Corridor_Elevated_Straight,2010,base,,base; barriers,1,,1,,,,,baseHeight
Greenhouse_Outer_1_2x2,2025,base,,base,2,,2,,,,,baseHeight
Greenhouse_Outer_2_2x2,2026,base,,base,2,,2,,,,,baseHeight
Greenhouse_Straight_1_1x2,2027,base,,base,1 2,,2,,,,,baseHeight
Greenhouse_Straight_1_2x2,2028,base,,base,2,,2,,,,,baseHeight
Greenhouse_Top_1_1x1,2031,base,,base,1,,2,,,,,baseHeight
Greenhouse_Top_1_1x2,2032,base,,base,2 1,,2,,,,,baseHeight
Greenhouse_Top_Outer_1_1x2,2033,base,,base,2 1,,2,,,,,baseHeight
Greenhouse_Top_Outer_Side,2034,base,,base,,,2,,,,,
Rooftop_Detail01,2040,base,,rooftop,1,,1,1.3,,,,freePlacing
Rooftop_Detail02,2041,base,,rooftop,1,,1,1.3,,,,freePlacing
Rooftop_Detail03,2042,base,,rooftop,1,,1,1.3,,,,freePlacing
Rooftop_Detail04,2043,base,,rooftop,1,,1,1.3,,,,freePlacing
Rooftop_Detail05,2044,base,,rooftop,2,,1,2,,,,freePlacing
Various_Detail06,2045,base,,rooftop,1,,1,,,,,freePlacing
Various_Entrance01,2046,base,,rooftop; base,1,1,1,1.2,,,,baseHeight
Various_Entrance02,2047,base,,rooftop; base,1,,1,,,,,freePlacing
New2_Road_Cross_Diagonal,2050,base,,road,4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_T_Cross_Diagonal,2051,base,,road,4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Diagonal_Short,2052,base,,road,3,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Straight_Diagonal_A,2053,base,,road,4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Straight_Diagonal_B,2054,base,,road,4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Corner,2055,base,,road,2 2,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Cross,2056,base,,road,4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Curve,2057,base,,road,5 5,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Curve_Long_A,2058,base,,road,4 6,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Curve_Long_B,2059,base,,road,4 6,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Diagonal,2060,base,,road,4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Straight,2061,base,,road,2 4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_End,2062,base,,road,2 4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Straight_Short,2063,base,,road,2 1,,1,,,,,bendOverTerrain; terrainObject
New2_Road_T_Cross,2064,base,,road,3 4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_End2,2065,base,,road,4,,1,,,,,bendOverTerrain; terrainObject
New2_Road_Straight2,2066,base,,road,2 4,,1,,,,,bendOverTerrain
Cables_03,2090,base,,power,1,,1,,,,,freePlacing
Crash_Barrier01,2091,base,,road; barriers,1,,1,,,,,blocking; baseHeight
Road_Barrier01,2092,base,,road; barriers,1,,1,,,,,blocking; baseHeight
Road_Barrier02,2093,base,,road; barriers,1 2,,1,,,,,blocking; baseHeight
Road_Barrier03,2094,base,,road; barriers,1 2,,1,,,,,
Road_Speed_Bump_New,5171,metro,,road; barriers,1 2 ,,1,,,,,
Road_Speed_Bump_Diagonal,5172,metro,,road; barriers,2 2 ,,1,,,,,
Trashcan01,2095,base,,road; city; internal,1,,1,,,,,freeFacing; freePlacing; randomRotation; terrainObject
Plants_Bed01,2096,base,,road; city,1,,1,,,,,freeFacing; freePlacing; randomRotation; terrainObject
Curbstone_Curve_45_a,2100,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Curve_45_b,2101,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Curve_90,2102,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Diagonal,2103,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Inner_Corner,2104,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Inner_Curve,2105,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Inner_Curve_2m,2106,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Outer_Corner,2107,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Outer_Curve,2108,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Outer_Curve_2m,2109,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Straight01,2110,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Straight02,2111,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Straight03,2112,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Straight_2m,2113,base,,road,1,,1,,,,,bendOverTerrain; terrainObject
Curbstone_Straight_8m,2114,base,,road,4 1,,1,,,,,bendOverTerrain; terrainObject
Pipe_Small_Corner_1,2130,base,,pipes,1,,1,,,,,baseHeight
Pipe_Small_Corner_2,2131,base,,pipes,1,,1,,,,,baseHeight
Pipe_Small_Corner_3,2132,base,,pipes,1,,1,,,,,baseHeight
Pipe_Small_Corner_4,2133,base,,pipes,1,,1,,,,,baseHeight
Pipe_Small_Straight_1,2134,base,,pipes,1,,1,,,,,baseHeight
Pipe_Small_Straight_2m_1,2135,base,,pipes,1,,1,,,,,baseHeight
Pipe_Small_Straight_2m_2,2136,base,,pipes,1,,1,,,,,baseHeight
Ladder_1,2140,base,,industry; base; city,1,,1,,,,,
Ladder_Bottom_1,2141,base,,industry; base; city,1,,1,,,,,
Ladder_Middle_1,2142,base,,industry; base; city,1,,1,,,,,
Ladder_Top_1,2143,base,,industry; base; city,1,,1,,,,,
Tower_Outpost1,2145,base,,base,1,,1,,,,,
Sign01_Poster02,2149,base,,culture,1,,1,,,,,baseHeight
Walls_Pillar_Big2,2150,base,,base,1,,1,,,,,freePlacing; baseHeight
Walls_Pillar_Big3,2151,base,,base,1,,1,,,,,freePlacing; baseHeight
Wall_Def_Gate01,2180,base,,barriers,4 1,2,1,,,,,blocking; baseHeight
Wall_Def_Gate02,2181,base,,barriers,4 1,3,1,,,,,blocking; baseHeight
Wall_Def_Straight01,2182,base,,barriers,1,2,1,,,,,blocking; baseHeight
Wall_Def_Straight02,2183,base,,barriers,1,3,1,,,,,blocking; baseHeight
Wall_Def_Corner01,2184,base,,barriers,1,2,1,,,,,blocking; baseHeight
Wall_Def_Corner02,2185,base,,barriers,1,3,1,,,,,blocking; baseHeight
Car,9,base,,vehicles,1,,7,,,,,blocking;
Trailer_Long1,2211,base,,vehicles,1,,2,,,,,freePlacing; blocking;
Trailer_Long2,2212,base,,vehicles,1,,2,,,,,freePlacing; blocking;
Trailer_Short1,2213,base,,vehicles,1,,2,,,,,
Trailer_Short2,2214,base,,vehicles,1,,2,,,,,freePlacing; blocking;
Truck01_Alt1,2215,base,,vehicles,1,,2,,,,,blocking;
Road_Decal_Park,2230,base,,decals,1 2,,2,,,,,terrainObject
Support_Top01,2235,base,,industry,1,,1,,,,,
Corridor_Ind01,2237,base,,industry,1,,1,,,,,baseHeight
Corridor_Ind02,2238,base,,industry,1,,1,,,,,baseHeight
Train_Front01,2250,metro,,rail; vehicles,1 5,,1,,,,,baseHeight
Train_Wagon01,2251,metro,,rail; vehicles,1 5,,1,,,,,baseHeight
Train_Wagon_D01,2252,metro,,rail; vehicles,1,,1,,,,,baseHeight
Train_Wagon_D02,2253,metro,,rail; vehicles,1 2,,1,,,,,baseHeight
Rail_Straight01,2259,metro,,rail,1 2,,4,,,,,baseHeight
Rail_Single,2284,metro,,rail,1,,2,,,,,baseHeight
Rail_Support_Bottom01,2260,metro,,rail,1 2,,1,,,,,baseHeight
Rail_Support_Middle01,2261,metro,,rail,1 2,,1,,,,,baseHeight
Rail_Support_Top01,2262,metro,,rail,1 2,,1,,,,,baseHeight
Tunnel_Entry01,2270,metro,,rail,1,,1,,,,,baseHeight
Tunnel01,2271,metro,,rail,1,,1,,,,,baseHeight
Support_Straight01,2280,base,,pipes,1,,,,,,,baseHeight
Support_Straight02,2281,base,,pipes,1,,,,,,,baseHeight
Support_Curve01,2282,base,,pipes,1,,,,,,,baseHeight
Support_T_Cross01,2283,base,,pipes,1,,,,,,,baseHeight
Support_T_Cross_WoPoles,5009,base,,pipes,1,,,,,,,baseHeight
Support_straight_WoPoles,5010,base,,pipes,1,,,,,,,baseHeight
Support_curve_WoPoles,5011,base,,pipes,1,,,,,,,baseHeight
,,,,,,,,,,,,
Terrain_Light_Pink,3030,base,,light,1,,1,,,,,freePlacing
Terrain_Light_Purple,3031,base,,light,1,,1,,,,,freePlacing
Terrain_Light_Blue,3032,base,,light,1,,1,,,,,freePlacing
Terrain_Light_White,3033,base,,light,1,,1,,,,,freePlacing
Terrain_Light_Yellow,3034,base,,light,1,,1,,,,,freePlacing
Terrain_Light_Green,3035,base,,light,1,,1,,,,,freePlacing
Hedge01,3021,chem,,moon; plants,1,,4,1,,,,freeFacing; freePlacing; terrainObject
Rocks_M2_0,3040,,FleetDLC,moon; rocks,2 1,0,1,1,,,,freeFacing
Rocks_M2_1,3041,,FleetDLC,moon; rocks,2,0,1,1,,,,freeFacing
Rocks_M2_2,3042,,FleetDLC,moon; rocks,1,0,1,1,,,,freeFacing
Rocks_M2_3,3043,,FleetDLC,moon; rocks,2 1,0,1,1,,,,freeFacing
Rocks_M2_4,3044,,FleetDLC,moon; rocks,2 1,0,1,1,,,,freeFacing
Rocks_M2_5,3045,,FleetDLC,moon; rocks,1,0,1,1,,,,freeFacing
Rocks_M2_6,3046,,FleetDLC,moon; rocks,3 2,0,1,1,,,,freeFacing
,,,,,,,,,,,,
// PLANET LAVA,,,,,,,,,,,,
Lava_Medium,4007,lava,,volcanic,3,,,,,,,freePlacing; randomRotation
Rock_Lava01a,4020,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava02a,4021,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava03a,4022,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava04a,4023,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava05a,4024,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava06a,4025,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava07a,4026,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava08a,4027,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava09a,4028,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Rock_Lava10a,4029,lava,,volcanic; rocks,1,0,1,1,,,,freeFacing; freePlacing
Volcano_Top_01a,4050,lava,,volcanic,1,0,1,1,,,,freeFacing; freePlacing
Volcano_Top_02a,4051,lava,,volcanic,1,0,1,1,,,,freeFacing; freePlacing
Lava_Geyser_Hole,4065,lava,,volcanic,1,,1,,,Lava_Geyser 1,,freeFacing; freePlacing; noEditor
Plant_Tree_Dead01,4070,lava,,volcanic,1,0,6,1,,,,freeFacing; freePlacing; randomRotation; terrainObject
Pipes_Straight_b,4080,base,,pipes,1,1,1,,,,,blocking; baseHeight
Pipes_Control_b,4081,base,,pipes,1,1,1,,,,,blocking; baseHeight
Pipes_Straight_Broken_b,4082,base,,pipes,1,1,1,,,,,blocking; baseHeight
Pipes_End_b,4083,base,,pipes,1,1,1,,,,,blocking; baseHeight
Pipes_Corner_b,4084,base,,pipes,1,1,1,,,,,blocking; baseHeight
Pipes_T_Split_b,4085,base,,pipes,1,1,1,,,,,blocking; baseHeight
Pipes_X_Split_b,4086,base,,pipes,1,1,1,,,,,blocking; baseHeight
Pipes_Diagonal_b,4087,base,,pipes,2,1,2,,,,,blocking; baseHeight
Crate_Space01,4260,,FleetDLC,space_station,1,,1,,,,,freeFacing; freePlacing
Crates_Space01,4261,,FleetDLC,space_station,1,,1,,,,,freeFacing; freePlacing
