name,dlc,featureflag,model,projectile,air projectile,spawn,scale,width,sound,offset,charge effect,fire effect,fire effect AA,ignition effect,target hit,soft hit,hard hit,water hit,// target armor,// damage,// DPS,attack,anti armor,anti granite,anti air,shock,blast,timer,burst,delay,range,extended,min range,accuracy,speed,initialSpeed,timeUntilFullSpeed,charge,cooldown,timeBetweenAttacks,shake,fire strategy,targeting,cone,homing,invalid,valid,damageType,traits,pinning strategy,overheat,onSoldierHit,poison,allianceSwitch,mindControl,timelineShot,burstOffsets,notification
APHE_Rocket,base,,/,Rocket_Blue,,,1,,Missile,,,,,,Rocket_APHE,Rocket_APHE,,Water_Splash_Small,,200,#REF!,200,110,40,,/,2,,/,/,30,,12,,35,,,1,0.5,5,20,,,,,solid; extinguishable,armored,,spreadFire;indirectFire;constantFireRate,,,onHit: None,,,,,,
HE_Rocket,base,,/,Rocket,,,1,,Missile,,,,,,Fireball_Heavy,Fireball_Heavy,,Water_Splash_Large,,175,#REF!,250,45,30,,120,6,,/,/,30,,20,,35,,,1,0.5,5,70,,,,,solid; extinguishable,,explosive,friendlyFire;spreadFire;indirectFire;noModifierBonus;forceStun,,,onHit: None,,,,,,
Canister_Rocket,base,,/,Rocket_Yellow,,,1,,Missile,,,,,,,Canister_Burst,,Water_Splash_Large,,#VALUE!,#VALUE!,80 130,60,/,100,/,12,,/,/,30,,20,,30,,,1,0.5,5,30,,,,,solid; extinguishable,,,friendlyFire;spreadFire;indirectFire;noBlastReduction;noModifierBonus,,,onHit: None,,,,,,
Fire_Rocket,base,,/,Rocket,,Fire_Medium_Unit,1,,Missile,,,,,,Fireball,Fireball,,Water_Splash_Large,,30,#REF!,150,20,20,,/,6,,/,/,30,,20,,35,,,1,0.5,5,20,,,,,solid; extinguishable,,scorching,friendlyFire;spreadFire;indirectFire;ignoreArmor,,,onHit: None,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// HOVER HMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hover_HMG_Burst,base,,/,Tracer,Tracer,,2,,burstStart: Hover_HMG_Burst,,,Hover_HMG_Muzzle_Flash,,,,Bullet_Impact_Dust_Heavy,,Water_Splash_Tiny,,,,10,25,,10,/,,,11,0.08,30,5,/,max: 8; air: 5,100,,,,/,0.88,/,turretNoMove,fovweighted,,,solid; extinguishable,,,,,,,,,,,,
Hover_HMG_Airborne_Burst,base,,/,Tracer,Tracer,,2,,burstStart: Hover_HMG_Burst,,,Hover_HMG_Muzzle_Flash,,,,Bullet_Impact_Dust_Heavy,,Water_Splash_Tiny,,,,10,25,,15,/,,,11,0.08,40,5,8,max: 4; air: 2,100,,,,/,0.88,/,turretNoMove,fovweighted,,,solid; extinguishable,,,,,,,,,,,,
Hover_HMG_Indirect_Burst,base,,/,Indirect_Bullet,,,1.5,,burstStart: Hover_HMG_Burst,,,Hover_HMG_Muzzle_Flash,,,,Bullet_Impact_Dust_Crater,,/,,12,#REF!,20,40,,,20,0.5,,50,0.08,45,,20,max: 5,70,,,,/,6.92,/,turretNoMove,,,,solid; extinguishable,,scorching,friendlyFire;indirectFire,,,,,,,,,
Hover_HMG_Hellraise_Shot,base,,/,/,,,1,,,,,,,,,,,/,,1.2,#REF!,20,20,,,50,6.5,,/,/,4.25,,,,,,,,/,0.3,/,,,,,solid; extinguishable; fireproof,,scorching,unaimed;indirectFire;noBlastReduction;detonateOnSource;noModifierBonus;forceStun;stealthFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// TACTICAL OFFICER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morita_MkIII,base,,Morita_MkIII,Tracer,Tracer,,1,/,burstStart: Carbine,,,Muzzle_Flash_4,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,1,#REF!,6,15,,3,5,,,3,0.2,35,10,/,max: 15; air: 15,78,,,0.3,0.3,1.4,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,,,,,,,,
Officer_Morita_MkIII,base,,Morita_MkIII,Tracer,Tracer,,1,/,burstStart: Carbine,,,Muzzle_Flash_4,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,1,#REF!,8,15,,3,4,,,3,0.2,35,10,/,max: 5; air: 10,78,,,0.3,0.3,1.4,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,,,,,,,,
Officer_Morita_MkIII_Grenade,base,,/,Rifle_Grenade,,,1,,Rifle_Grenade,,,Grenade_Launcher,,,,MkIII_Grenade_Explosion,,Water_Splash_Small,,48,#REF!,120,30,10,,20,4,,/,/,35,,10,max: 2,40,,,,/,4,10,,,,,solid; extinguishable,,,indirectFire,,,onHit: None,,,,,,
Designated_Target_Flare,base,,/,Flare,,Designated_Target_Marker,1,/,Flare_Launch,,,Grenade_Launcher,,,,Flare_Ignition,,Water_Splash_Small,,#VALUE!,#VALUE!,/,/,,,/,/,,/,/,35,,/,/,20,,,0.5,0.5,2,/,,,,,/,,,indirectFire,,,onHit: None,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// CHEMICAL TROOPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insecticide_Grenade,base,,/,Gas_Canister,,Insecticide_Gas_Cloud,1,,Chemical_Shot,,,Grenade_Launcher,,,,Rifle_Grenade_Explosion,,Water_Splash_Small,,1,#REF!,,,,,/,,,/,/,30,,8,max: 3,20,,,0.5,1,2.5,/,,,,,structure; solid; inanimate; extinguishable,,,indirectFire;spreadFire;constantFireRate,,,onHit: None,,,,,,
Insecticide_Volley,base,,/,Gas_Canister,,Insecticide_Gas_Cloud,1,,Chemical_Shot,,,Grenade_Launcher,,,,Rifle_Grenade_Explosion,,Water_Splash_Small,,1,#REF!,,,,,/,,,/,/,30,,8,max: 3,20,,,0.5,0.5,1,/,,,,,structure; solid; inanimate; extinguishable,,,indirectFire;spreadFire;constantFireRate,,,onHit: None,,,,,,
Insecticide_Gas,base,,/,/,,,1,,,,,,,,,,,/,,5,#REF!,5,200,,,5,4,,30,0.5,/,,,,,,,,/,15,/,,,,,structure; solid; inanimate; human; extinguishable,,hidden,unaimed;noModifierBonus;noBlastReduction;noModifierBonus,,,,,,,,,
Lethal_Gas,base,,/,/,,,1,,,,,,,,,,,/,,20,#REF!,20,200,,,5,8,,/,/,8,,/,,,,,,/,0.5,/,,,,,structure; solid; inanimate; gasImmune; extinguishable,,hidden,unaimed;noModifierBonus;noBlastReduction;detonateOnSource,,,,,,,,,
Gasthrower,base,,/,Invisible,,,1,3,burstStart: Flamethrower,,,Gasthrower,,,,,,/,,20,#REF!,20,200,,,20,,,7,0.2,10,4,,,40,,,,/,1.2,/,,,,,solid; inanimate; extinguishable,,hidden,burstEffect; StopBurstEffectManually; spreadFire; constantFireRate; indirectFire,,,onHit: PassThroughDamage,,,,,,
Chemical_Barrel,base,,/,/,,Insecticide_Gas_Cloud,,,,,,/,,,,,,,,,,/,/,,,,/,,/,/,/,,,,,,,,/,0,/,,,,,structure; solid; inanimate; human; extinguishable,,,noModifierBonus,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// FLEET LIASON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morita_Pistol,base,,PS_Pistol,Tracer,Tracer,,1,,Pistol,,,Muzzle_Flash_Single,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,,,5,10,,,,,,5,0.3,25,,,max: 3,65,,,0.3,0.3,2.7,/,,,,,solid; extinguishable,,,spreadFire,,,,,,,,,
Orbital_Missile,base,,/,Orbital_Missile,,,2,,Missile,,,,,,Fireball,Fireball,,Water_Splash_Large,,,,250,120,,,100,10,,/,/,100,,/,max: 8,40,,,,/,2,30,,,,,solid; extinguishable,,explosive,unaimed;noModifierBonus;friendlyFire,,,,,,,,,
TAC_Strafe,base,,/,/,,,1,,/,,,/,,,Bullet_Impact_Hard,Bullet_Impact_Hard,Bullet_Impact_Hard,Bullet_Impact_Hard,,#VALUE!,#VALUE!,/,/,/,,/,/,,/,/,40,,4,/,/,,,0.5,1,3.5,5,,,,,solid; extinguishable,,,unaimed;constantFireRate;noModifierBonus,,,,,,,timeline: fleetliaison_tac_strafe; rotation: 45; swapRotationAfterShot: true,,
TAC_Strafe_Projectile,base,,/,Tracer,,,1.5,,/,,,/,,,,Bullet_Impact_Dust_Heavy,Bullet_Impact_Dust_Heavy,Water_Splash_Large,,35,#REF!,35,80,20,,80,2,,/,/,100,,4,max: 2,120,,,,/,4,5,,,,,solid; extinguishable,,,unaimed; indirectFire; noModifierBonus,,,onHit: None,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MARINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morita_Carbine,base,,Morita_Carbine,Tracer,Tracer,,1,/,burstStart: Carbine,,,Muzzle_Flash_4,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,1.4,#REF!,7,20,,7,2,,,2,0.39,30,15,/,max: 8,78,,,0.2,0.2,0.99,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// E-PULSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Pulse_44,base,,E-Pulse_44,Invisible,,,1,/,burstStart: E-Pulse,,,E-Pulse_Flash,,,E-Pulse_Hit,E-Pulse_Hit,E-Pulse_Hit,Bullet_Impact_Dust,,7,210,7,60,,3,/,,,3,0.2,20,4,/,max: 10; air: 10,100,,,0.3,0.3,1.2,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,enableForAbility,,,,,,,
E-Pulse_44_Boosted,base,,E-Pulse_44,E-Pulse,E-Pulse,,1,/,burstStart: E-Pulse,,,E-Pulse_Flash,,,E-Pulse_Hit,E-Pulse_Hit,E-Pulse_Hit,Bullet_Impact_Dust,,10,#REF!,10,80,,3,/,,,3,0.2,32,4,/,max: 10; air: 10,100,,,0.3,0.3,1,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,,,,,,,,
Battery_Projectile,base,,/,E-Battery,,Battery_Bomb,1,,,1,,,,,,/,,Water_Splash_Small,,,,/,20,,,/,/,,/,/,20,,,max: 0.5,20,,,,/,0,/,,,,,/,,,indirectFire,,,onHit: None,,,,,,
Battery_Explosion,base,,/,/,,,1,,,1,,,,,,Battery_Explosion,,,,,,/,20,,,200,10,,/,/,/,,,/,/,,,,/,0,/,,,,,/,,,friendlyFire;indirectFire;forceStun;longStun;noModifierBonus,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// FORTIS E-PULSE TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exosuit_Electroshock,base,,/,/,,,1,,M11_Jet_Blast,,Electric_Sparks,,,,,M11_Jet_Blast,,/,,100,#REF!,100,60,,,80,8,,/,/,/,,,,,,,1.5,1,6.5,/,soldier special0,,,,solid; extinguishable,,scorching,unaimed; noModifierBonus; noSelfDamage; spreadFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MORTAR MECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mech_Mortar_Shot,base,,/,Electro_Mortar,,,0.3,,Mortar_Mech,,,Mech_Mortar_Shot,,,,Mjolnir_Explosion,,Water_Splash_Small,,120,#REF!,200,40,20,,50,5,,/,/,40,,,max: 2,40,,,1.5,1.5,3,30,,,,,extinguishable,,explosive,indirectFire,AlwaysTargetGround,,onHit: None,,,,,,
Mech_Mortar_Deployed_Shot,base,,/,Mortar_Mech_Mega_Shell,,Mech_Mortar_Deployed_Shot_Core,0.3,,Mortar_Mech_Heavy,,,Mech_Mortar_Shot,,,,Mjolnir_Heavy_Explosion,,Water_Splash_Small,,300,#REF!,300,60,20,,150,12,,/,/,65,,/,/,45,,,2.5,2.5,6.5,50,,,,,extinguishable,,explosive,indirectFire; friendlyFire; longStun,AlwaysTargetGround,,onHit: None,,,,,,
Mech_Mortar_Deployed_Shot_Core,base,,/,/,,,,,,,,,,,,/,,,,,,100,80,,,/,4,,/,/,/,,/,/,/,,,,/,0,/,,,,,extinguishable,,explosive,friendlyFire;noBlastReduction,,,,,,,,,
Mech_Mortar_Shotgun,base,,/,Invisible,,,1,2,Frag_Gun_Direct,,,Frag_Shot,,,,,,/,,50,250,50,60,20,,40,,,/,/,12,2,,,100,,,0,0.4,2,/,,,,,solid; extinguishable,,,,,,onHit: PassThroughDamage,,,,,,
Mech_Mortar_Firewall_Burst,base,,/,Mortar_Mech_Fire_Shell,,Fire_Small_Unit,0.2,,Mortar_Mech_Fire_Burst,,,M11_Mortar,,,,Canister_Burst,,Water_Splash_Large,,,,100,40,,,,5,,5,/,40,,12,max: 1,39,,,0.5,1,7,40,soldier special0,,,,solid; extinguishable,,scorching,friendlyFire;indirectFire;noModifierBonus,,,onHit: None,,,,,-10 -2;-5 -0.8;0 0;5 -0.8;10 -2,
Mech_Mortar_Barrel_Bomb,base,,/,Mortar_Mech_Barrel_Bomb,,,1,,Mortar_Mech,,,M11_Mortar,,,,Canister_Burst,,Water_Splash_Small,,120,#REF!,200,40,20,200,50,20,,/,/,40,,12,max: 1,30,,,0.5,/,3,10,,,,,extinguishable,,,indirectFire,,,onHit: None,,,,,,
Mech_Mortar_Turret_Pod,base,,/,Mech_Mortar_Turret_Projectile,,Mech_Mortar_Turret,0.4,/,Mortar_Mech,,,Grenade_Launcher,,,,Mortar_Mech_Turret_Pod_Impact,,Water_Splash_Small,,#VALUE!,#VALUE!,/,/,,,/,/,,/,/,40,,/,/,40,,,0.5,1,3.1,/,soldier special0,,,,,,,indirectFire,,,onHit: None,,,,,,
Mech_Mortar_Turret_Shot,base,,/,Tracer_Thick,Tracer_Thick,,1.5,/,Autocannon_V2,,,Howitzer_Shot_Small,,,Autocannon_Hit,Rifle_Grenade_Explosion,,Water_Splash_Tiny,,15,#REF!,15,70,40,20,30,4,,/,/,25,8,/,max: 2; air: 3,120,,,,/,0.3,/,turret,fovweighted,,,solid; extinguishable,,,,,,onHit: PassThroughDamage,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M8 JAEGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mech_Cannon_Shot,base,,/,Shell_Tracer,Shell_Tracer,,0.09,/,Longsword_Attack,,,Recoilless_Rifle_Shot,,,Rifle_Grenade_Explosion,Rifle_Grenade_Explosion,,Water_Splash_Tiny,,150,#REF!,150,80,10,,20,/,,/,/,40,8,/,/,80,,,0.2,/,1.7,5,,fovweighted,,,solid; extinguishable,,,,,,,,,,,,
Mech_Cannon_Proximity_Burst,base,,/,Gas_Canister,,,1,,Chemical_Shot,,,Grenade_Launcher,,,,Frag_Grenade_Explosion,,Water_Splash_Large,,,,100,40,,,,3,,4,0.2,15,,,max: 1,30,,,0.2,0.2,1,40,,,,,solid; extinguishable,,scorching,friendlyFire;indirectFire;noModifierBonus;noBlastReduction,,,onHit: None,,,,, -6.5 -1.5;-3 0;3 0;6.5 -1.5,
Mech_AT_Flak,base,,/,Flak_Grenade,,,1,,Rifle_Grenade,,,Grenade_Launcher,,,,Flak_Explosion,,/,,80,#REF!,/,60,,80,,14,,4,0.3,25,,/,max: 8,25,,,0.5,/,4.4,/,,,,,solid; extinguishable,,,friendlyFire;indirectFire;spreadFire;noModifierBonus,,,onHit: None,,,,,,
Mech_AT_Drone_Laser,base,,/,/,,,1,/,,,,Laser_Pointer_Red,,,,,,Water_Splash_Tiny,,#VALUE!,#VALUE!,/,/,,,,,,/,/,22,,/,/,/,,,/,/,0.1,/,,,,,solid; extinguishable,,,indirectFire,,,,,,,,,
